Original cmd-> /cluster/home/vlnitu/CA-Lab4-24-vlnitu/Pythia/bin/perceptron-no-multi-no-ship-1core --warmup_instructions=1000000 --simulation_instructions=10000000 --l2c_prefetcher_types=scooby --config=/cluster/home/vlnitu/CA-Lab4-24-vlnitu/Pythia/config/pythia.ini --mail-type=BEGIN,END  -traces /cluster/home/vlnitu/CA-Lab4-24-vlnitu/Pythia/traces/462.libquantum-714B.champsimtrace.xz
*************************************************
   ChampSim Multicore Out-of-Order Simulator
   Last compiled: Nov 19 2024 20:10:11
*************************************************
parsing config file: /cluster/home/vlnitu/CA-Lab4-24-vlnitu/Pythia/config/pythia.ini
unable to parse section: , name: mail-type, value: BEGIN,END

trace_0 /cluster/home/vlnitu/CA-Lab4-24-vlnitu/Pythia/traces/462.libquantum-714B.champsimtrace.xz
Core_0_L2C_prefetch_issued 1470057
Core_0_L2C_prefetch_filled 212695
Core_0_L2C_prefetch_useful 212682
Core_0_L2C_prefetch_useless 13
Core_0_L2C_prefetch_late 60493
Core_0_L2C_average_miss_latency 168.09866

Core_0_L2C_rq_access 263179
Core_0_L2C_rq_forward 0
Core_0_L2C_rq_merged 0
Core_0_L2C_rq_to_cache 263179
Core_0_L2C_rq_full 0

Core_0_L2C_wq_access 98187
Core_0_L2C_wq_forward 0
Core_0_L2C_wq_merged 0
Core_0_L2C_wq_to_cache 98187
Core_0_L2C_wq_full 0

Core_0_L2C_pq_access 1470057
Core_0_L2C_pq_forward 0
Core_0_L2C_pq_merged 310437
Core_0_L2C_pq_to_cache 1159620
Core_0_L2C_pq_full 0

Core_0_L2C_acc_epochs 10036
Core_0_L2C_acc_level_0 1
Core_0_L2C_acc_level_1 0
Core_0_L2C_acc_level_2 2
Core_0_L2C_acc_level_3 12
Core_0_L2C_acc_level_4 26
Core_0_L2C_acc_level_5 17
Core_0_L2C_acc_level_6 22
Core_0_L2C_acc_level_7 79
Core_0_L2C_acc_level_8 300
Core_0_L2C_acc_level_9 9577

Core_0_LLC_total_access 357784
Core_0_LLC_total_hit 31172
Core_0_LLC_total_miss 326612
Core_0_LLC_loads 12371
Core_0_LLC_load_hit 0
Core_0_LLC_load_miss 12371
Core_0_LLC_RFOs 4
Core_0_LLC_RFO_hit 0
Core_0_LLC_RFO_miss 4
Core_0_LLC_prefetches 250809
Core_0_LLC_prefetch_hit 0
Core_0_LLC_prefetch_miss 250809
Core_0_LLC_writebacks 94600
Core_0_LLC_writeback_hit 31172
Core_0_LLC_writeback_miss 63428
Core_0_LLC_prefetch_requested 0
Core_0_LLC_prefetch_dropped 0
Core_0_LLC_prefetch_issued 0
Core_0_LLC_prefetch_filled 273188
Core_0_LLC_prefetch_useful 0
Core_0_LLC_prefetch_useless 272454
Core_0_LLC_prefetch_late 0
Core_0_LLC_average_miss_latency 132.06606

Core_0_LLC_rq_access 12375
Core_0_LLC_rq_forward 0
Core_0_LLC_rq_merged 0
Core_0_LLC_rq_to_cache 12375
Core_0_LLC_rq_full 0

Core_0_LLC_wq_access 94602
Core_0_LLC_wq_forward 0
Core_0_LLC_wq_merged 0
Core_0_LLC_wq_to_cache 94602
Core_0_LLC_wq_full 0

Core_0_LLC_pq_access 273190
Core_0_LLC_pq_forward 0
Core_0_LLC_pq_merged 0
Core_0_LLC_pq_to_cache 273190
Core_0_LLC_pq_full 0

Core_0_LLC_acc_epochs 10434
Core_0_LLC_acc_level_0 10434
Core_0_LLC_acc_level_1 0
Core_0_LLC_acc_level_2 0
Core_0_LLC_acc_level_3 0
Core_0_LLC_acc_level_4 0
Core_0_LLC_acc_level_5 0
Core_0_LLC_acc_level_6 0
Core_0_LLC_acc_level_7 0
Core_0_LLC_acc_level_8 0
Core_0_LLC_acc_level_9 0

Core_0_major_page_fault 0
Core_0_minor_page_fault 4475

scooby_st_lookup 285906
scooby_st_hit 281429
scooby_st_evict 4413
scooby_st_insert 4477
scooby_st_streaming 0

scooby_predict_called 285906
scooby_predict_out_of_bounds 4555
scooby_predict_action_1 280947
scooby_predict_issue_action_1 280683
scooby_predict_hit_action_1 264
scooby_predict_out_of_bounds_action_1 4462
scooby_predict_action_3 35
scooby_predict_issue_action_3 35
scooby_predict_hit_action_3 0
scooby_predict_out_of_bounds_action_3 1
scooby_predict_action_4 29
scooby_predict_issue_action_4 29
scooby_predict_hit_action_4 0
scooby_predict_out_of_bounds_action_4 0
scooby_predict_action_5 35
scooby_predict_issue_action_5 35
scooby_predict_hit_action_5 0
scooby_predict_out_of_bounds_action_5 1
scooby_predict_action_10 35
scooby_predict_issue_action_10 35
scooby_predict_hit_action_10 0
scooby_predict_out_of_bounds_action_10 10
scooby_predict_action_11 27
scooby_predict_issue_action_11 27
scooby_predict_hit_action_11 0
scooby_predict_out_of_bounds_action_11 6
scooby_predict_action_12 30
scooby_predict_issue_action_12 30
scooby_predict_hit_action_12 0
scooby_predict_out_of_bounds_action_12 4
scooby_predict_action_22 25
scooby_predict_issue_action_22 25
scooby_predict_hit_action_22 0
scooby_predict_out_of_bounds_action_22 17
scooby_predict_action_23 22
scooby_predict_issue_action_23 22
scooby_predict_hit_action_23 0
scooby_predict_out_of_bounds_action_23 9
scooby_predict_action_30 14
scooby_predict_issue_action_30 14
scooby_predict_hit_action_30 0
scooby_predict_out_of_bounds_action_30 26
scooby_predict_action_32 13
scooby_predict_issue_action_32 13
scooby_predict_hit_action_32 0
scooby_predict_out_of_bounds_action_32 16
scooby_predict_action_-1 39
scooby_predict_issue_action_-1 0
scooby_predict_hit_action_-1 39
scooby_predict_out_of_bounds_action_-1 0
scooby_predict_action_-3 31
scooby_predict_issue_action_-3 1
scooby_predict_hit_action_-3 30
scooby_predict_out_of_bounds_action_-3 2
scooby_predict_action_-6 29
scooby_predict_issue_action_-6 1
scooby_predict_hit_action_-6 28
scooby_predict_out_of_bounds_action_-6 1
scooby_predict_action_0 40
scooby_predict_issue_action_0 0
scooby_predict_hit_action_0 0
scooby_predict_out_of_bounds_action_0 0
scooby_predict_multi_deg_called 267262
scooby_predict_predicted 1470057
scooby_predict_multi_deg 1189107
scooby_predict_multi_deg_2 262815
scooby_predict_multi_deg_3 249419
scooby_predict_multi_deg_4 244966
scooby_predict_multi_deg_5 218177
scooby_predict_multi_deg_6 213730
scooby_predict_multi_deg_7 0
scooby_predict_multi_deg_8 0
scooby_predict_multi_deg_9 0
scooby_predict_multi_deg_10 0
scooby_predict_multi_deg_11 0
scooby_predict_multi_deg_12 0
scooby_predict_multi_deg_13 0
scooby_predict_multi_deg_14 0
scooby_predict_multi_deg_15 0
scooby_predict_multi_deg_16 0

scooby_selected_deg_1 13688
scooby_selected_deg_2 8937
scooby_selected_deg_3 0
scooby_selected_deg_4 22335
scooby_selected_deg_5 0
scooby_selected_deg_6 235990
scooby_selected_deg_7 0
scooby_selected_deg_8 0
scooby_selected_deg_9 0
scooby_selected_deg_10 0
scooby_selected_deg_11 0
scooby_selected_deg_12 0
scooby_selected_deg_13 0
scooby_selected_deg_14 0
scooby_selected_deg_15 0
scooby_selected_deg_16 0

scooby_state_401442|27|1 2918,0,0,1,0,1,0,0,2,0,2,1,0,0,0,2925,
scooby_state_401442|18|1 2920,1,1,0,0,0,1,0,0,0,1,1,0,0,0,2925,
scooby_state_401442|34|1 2921,0,1,0,0,0,1,0,0,0,0,0,0,0,2,2925,
scooby_state_401442|15|1 2922,0,0,1,0,0,0,1,0,0,0,0,0,1,0,2925,
scooby_state_401442|8|1 2919,0,0,0,2,1,1,1,0,1,0,0,0,0,0,2925,
scooby_state_401442|60|1 2917,2,0,0,1,1,0,1,1,2,0,0,0,0,0,2925,
scooby_state_401442|32|1 2920,0,0,0,1,0,0,0,1,0,0,1,1,0,1,2925,
scooby_state_401442|43|1 2916,1,2,1,0,0,0,0,0,1,3,0,0,0,1,2925,
scooby_state_401442|6|1 2918,0,0,0,2,0,0,1,1,0,0,1,1,0,1,2925,
scooby_state_401442|33|1 2921,1,1,0,0,0,0,0,0,1,0,0,0,1,0,2925,
scooby_state_401442|51|1 2919,0,0,1,1,1,1,0,1,0,0,1,0,0,0,2925,
scooby_state_401442|29|1 2917,1,1,0,1,2,0,1,0,0,0,1,1,0,0,2925,
scooby_state_401442|42|1 2920,1,1,0,0,1,1,0,0,0,0,1,0,0,0,2925,
scooby_state_401442|14|1 2922,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2925,
scooby_state_401442|35|1 2923,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2925,
scooby_state_401442|12|1 2922,0,0,1,0,1,0,0,0,0,0,1,0,0,0,2925,
scooby_state_401442|36|1 2919,1,0,1,1,1,1,1,0,0,0,0,0,0,0,2925,
scooby_state_401442|41|1 2917,1,1,0,0,2,0,2,0,1,1,0,0,0,0,2925,
scooby_state_401442|52|1 2921,1,1,0,0,0,0,0,0,0,0,1,0,0,1,2925,
scooby_state_401442|61|1 2922,1,0,0,0,0,0,0,0,1,0,1,0,0,0,2925,
scooby_state_401442|57|1 2921,0,0,0,1,1,0,0,0,0,0,0,0,1,1,2925,
scooby_state_401442|38|1 2918,0,0,2,1,0,0,0,0,1,1,0,0,0,2,2925,
scooby_state_401442|16|1 2918,0,1,1,1,0,1,0,1,0,0,0,0,0,2,2925,
scooby_state_401442|0|0 2921,0,0,0,0,0,2,1,0,0,0,0,1,0,0,2925,
scooby_state_401442|63|1 2922,0,0,0,0,0,1,0,0,1,0,0,0,1,0,2925,
scooby_state_401442|19|1 2916,0,0,1,1,0,1,0,0,0,1,1,1,2,1,2925,
scooby_state_401442|40|1 2921,0,0,0,0,0,0,1,2,0,1,0,0,0,0,2925,
scooby_state_401442|62|1 2920,0,0,0,1,0,0,0,1,3,0,0,0,0,0,2925,
scooby_state_401442|24|1 2919,0,3,0,0,0,0,0,1,0,0,1,0,0,1,2925,
scooby_state_401442|10|1 2917,1,0,0,1,0,1,1,2,0,1,0,0,1,0,2925,
scooby_state_401442|48|1 2917,1,0,0,1,2,1,1,0,1,1,0,0,0,0,2925,
scooby_state_401442|26|1 2921,0,0,2,0,0,0,0,1,0,0,0,1,0,0,2925,
scooby_state_401442|20|1 2916,1,1,1,1,1,0,0,1,0,0,1,0,0,2,2925,
scooby_state_401442|11|1 2921,0,0,1,0,0,0,0,0,1,1,0,0,1,0,2925,
scooby_state_401442|28|1 2920,1,0,0,0,0,1,0,0,1,1,0,0,1,0,2925,
scooby_state_401442|23|1 2922,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2925,
scooby_state_401442|17|1 2921,0,0,0,0,0,0,0,0,2,0,0,0,1,1,2925,
scooby_state_401442|7|1 2921,0,0,0,1,2,0,0,0,0,0,0,1,0,0,2925,
scooby_state_401442|53|1 2919,1,0,0,0,0,0,1,1,1,1,0,1,0,0,2925,
scooby_state_401442|30|1 2922,0,0,0,1,0,0,0,0,0,0,0,1,1,0,2925,
scooby_state_401442|21|1 2923,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2925,
scooby_state_401442|59|1 2918,0,0,0,1,2,0,0,0,0,0,1,1,2,0,2925,
scooby_state_401442|31|1 2919,2,2,0,0,0,0,0,1,0,0,0,0,0,1,2925,
scooby_state_401442|55|1 2915,1,1,0,0,0,0,2,0,2,1,0,1,1,1,2925,
scooby_state_401442|58|1 2918,1,0,1,1,0,0,1,0,0,0,2,0,0,1,2925,
scooby_state_401442|50|1 2922,0,0,0,1,0,0,2,0,0,0,0,0,0,0,2925,
scooby_state_401442|37|1 2919,0,0,2,2,0,0,0,0,1,0,0,0,1,0,2925,
scooby_state_401442|56|1 2919,1,0,0,0,1,0,2,1,0,1,0,0,0,0,2925,
scooby_state_401442|54|1 2916,0,1,1,1,0,1,2,0,0,0,0,2,0,1,2925,
scooby_state_401442|47|1 2918,1,1,1,1,0,1,0,0,2,0,0,0,0,0,2925,
scooby_state_401442|9|1 2920,1,0,1,0,0,0,3,0,0,0,0,0,0,0,2925,
scooby_state_401442|46|1 2921,1,0,0,1,0,1,0,0,0,0,1,0,0,0,2925,
scooby_state_401442|45|1 2920,0,0,0,2,0,0,1,1,0,0,0,0,1,0,2925,
scooby_state_401442|13|1 2921,0,0,0,1,0,1,1,0,0,1,0,0,0,0,2925,
scooby_state_401442|25|1 2921,1,1,1,0,0,0,0,0,0,0,0,0,0,1,2925,
scooby_state_401442|44|1 2921,0,0,0,0,1,0,1,0,0,0,1,0,1,0,2925,
scooby_state_401442|49|1 2918,1,0,0,0,0,0,0,1,3,0,0,0,1,1,2925,
scooby_state_401442|22|1 2923,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2925,
scooby_state_401442|39|1 2918,1,0,0,1,1,2,0,0,0,0,1,0,0,1,2925,
scooby_state_401442|2|1 2924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2924,
scooby_state_401442|3|1 2921,0,0,0,1,0,0,0,0,0,0,0,1,1,0,2924,
scooby_state_401442|4|1 2919,1,0,0,0,1,0,0,1,0,0,0,2,0,0,2924,
scooby_state_401442|5|1 2918,1,0,1,0,0,1,2,0,0,0,1,0,0,0,2924,
scooby_state_401442|1|1 2922,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2924,
scooby_state_4011ae|2|1 1539,0,1,2,0,0,0,0,0,1,0,0,0,0,0,1543,
scooby_state_4011ae|0|0 1541,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1543,
scooby_state_4011ae|3|1 1540,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1543,
scooby_state_4011ae|1|1 1542,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1543,
scooby_state_4011ae|4|1 1540,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1543,
scooby_state_4011ae|25|1 1538,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1542,
scooby_state_4011ae|63|1 1540,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1542,
scooby_state_4011ae|34|1 1535,1,0,1,1,0,1,1,0,1,0,0,0,0,1,1542,
scooby_state_4011ae|24|1 1542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1542,
scooby_state_4011ae|32|1 1541,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1542,
scooby_state_4011ae|37|1 1539,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1542,
scooby_state_4011ae|22|1 1541,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1542,
scooby_state_4011ae|50|1 1540,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1542,
scooby_state_4011ae|33|1 1533,1,0,0,0,2,2,0,0,0,1,1,1,1,0,1542,
scooby_state_4011ae|19|1 1540,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1542,
scooby_state_4011ae|31|1 1540,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1542,
scooby_state_4011ae|30|1 1541,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1542,
scooby_state_4011ae|26|1 1541,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1542,
scooby_state_4011ae|5|1 1540,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1542,
scooby_state_4011ae|7|1 1540,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1542,
scooby_state_4011ae|20|1 1539,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1542,
scooby_state_4011ae|39|1 1538,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1542,
