Original cmd-> /cluster/home/vlnitu/CA-Lab4-24-vlnitu/Pythia/bin/perceptron-no-multi-no-ship-1core --warmup_instructions=1000000 --simulation_instructions=10000000 --l2c_prefetcher_types=scooby --config=/cluster/home/vlnitu/CA-Lab4-24-vlnitu/Pythia/config/pythia.ini --mail-type=BEGIN,END  -traces /cluster/home/vlnitu/CA-Lab4-24-vlnitu/Pythia/traces/456.hmmer-327B.champsimtrace.xz
*************************************************
   ChampSim Multicore Out-of-Order Simulator
   Last compiled: Nov 19 2024 20:10:11
*************************************************
parsing config file: /cluster/home/vlnitu/CA-Lab4-24-vlnitu/Pythia/config/pythia.ini
unable to parse section: , name: mail-type, value: BEGIN,END

trace_0 /cluster/home/vlnitu/CA-Lab4-24-vlnitu/Pythia/traces/456.hmmer-327B.champsimtrace.xz
Core_0_L2C_prefetch_issued 90831
Core_0_L2C_prefetch_filled 2508
Core_0_L2C_prefetch_useful 2273
Core_0_L2C_prefetch_useless 167
Core_0_L2C_prefetch_late 3
Core_0_L2C_average_miss_latency 160.86374

Core_0_L2C_rq_access 47382
Core_0_L2C_rq_forward 0
Core_0_L2C_rq_merged 0
Core_0_L2C_rq_to_cache 47351
Core_0_L2C_rq_full 0

Core_0_L2C_wq_access 26604
Core_0_L2C_wq_forward 32
Core_0_L2C_wq_merged 0
Core_0_L2C_wq_to_cache 26604
Core_0_L2C_wq_full 0

Core_0_L2C_pq_access 90831
Core_0_L2C_pq_forward 0
Core_0_L2C_pq_merged 215
Core_0_L2C_pq_to_cache 90615
Core_0_L2C_pq_full 0

Core_0_L2C_acc_epochs 9286
Core_0_L2C_acc_level_0 8107
Core_0_L2C_acc_level_1 221
Core_0_L2C_acc_level_2 190
Core_0_L2C_acc_level_3 56
Core_0_L2C_acc_level_4 64
Core_0_L2C_acc_level_5 170
Core_0_L2C_acc_level_6 32
Core_0_L2C_acc_level_7 61
Core_0_L2C_acc_level_8 67
Core_0_L2C_acc_level_9 318

Core_0_LLC_total_access 54302
Core_0_LLC_total_hit 27315
Core_0_LLC_total_miss 26987
Core_0_LLC_loads 81
Core_0_LLC_load_hit 75
Core_0_LLC_load_miss 6
Core_0_LLC_RFOs 26560
Core_0_LLC_RFO_hit 0
Core_0_LLC_RFO_miss 26560
Core_0_LLC_prefetches 1621
Core_0_LLC_prefetch_hit 1200
Core_0_LLC_prefetch_miss 421
Core_0_LLC_writebacks 26040
Core_0_LLC_writeback_hit 26040
Core_0_LLC_writeback_miss 0
Core_0_LLC_prefetch_requested 0
Core_0_LLC_prefetch_dropped 0
Core_0_LLC_prefetch_issued 0
Core_0_LLC_prefetch_filled 1311
Core_0_LLC_prefetch_useful 27
Core_0_LLC_prefetch_useless 31
Core_0_LLC_prefetch_late 0
Core_0_LLC_average_miss_latency 136.91196

Core_0_LLC_rq_access 26641
Core_0_LLC_rq_forward 0
Core_0_LLC_rq_merged 0
Core_0_LLC_rq_to_cache 26641
Core_0_LLC_rq_full 0

Core_0_LLC_wq_access 26040
Core_0_LLC_wq_forward 0
Core_0_LLC_wq_merged 0
Core_0_LLC_wq_to_cache 26040
Core_0_LLC_wq_full 0

Core_0_LLC_pq_access 2511
Core_0_LLC_pq_forward 0
Core_0_LLC_pq_merged 0
Core_0_LLC_pq_to_cache 2511
Core_0_LLC_pq_full 0

Core_0_LLC_acc_epochs 9326
Core_0_LLC_acc_level_0 9312
Core_0_LLC_acc_level_1 6
Core_0_LLC_acc_level_2 5
Core_0_LLC_acc_level_3 0
Core_0_LLC_acc_level_4 0
Core_0_LLC_acc_level_5 3
Core_0_LLC_acc_level_6 0
Core_0_LLC_acc_level_7 0
Core_0_LLC_acc_level_8 0
Core_0_LLC_acc_level_9 0

Core_0_major_page_fault 0
Core_0_minor_page_fault 490

scooby_st_lookup 23138
scooby_st_hit 22952
scooby_st_evict 122
scooby_st_insert 186
scooby_st_streaming 0

scooby_predict_called 23138
scooby_predict_out_of_bounds 356
scooby_predict_action_1 22651
scooby_predict_issue_action_1 16507
scooby_predict_hit_action_1 6144
scooby_predict_out_of_bounds_action_1 352
scooby_predict_action_3 11
scooby_predict_issue_action_3 7
scooby_predict_hit_action_3 4
scooby_predict_out_of_bounds_action_3 0
scooby_predict_action_4 7
scooby_predict_issue_action_4 3
scooby_predict_hit_action_4 4
scooby_predict_out_of_bounds_action_4 0
scooby_predict_action_5 7
scooby_predict_issue_action_5 5
scooby_predict_hit_action_5 2
scooby_predict_out_of_bounds_action_5 0
scooby_predict_action_10 12
scooby_predict_issue_action_10 5
scooby_predict_hit_action_10 7
scooby_predict_out_of_bounds_action_10 1
scooby_predict_action_11 9
scooby_predict_issue_action_11 4
scooby_predict_hit_action_11 5
scooby_predict_out_of_bounds_action_11 1
scooby_predict_action_12 6
scooby_predict_issue_action_12 3
scooby_predict_hit_action_12 3
scooby_predict_out_of_bounds_action_12 0
scooby_predict_action_22 9
scooby_predict_issue_action_22 5
scooby_predict_hit_action_22 4
scooby_predict_out_of_bounds_action_22 0
scooby_predict_action_23 7
scooby_predict_issue_action_23 5
scooby_predict_hit_action_23 2
scooby_predict_out_of_bounds_action_23 0
scooby_predict_action_30 8
scooby_predict_issue_action_30 2
scooby_predict_hit_action_30 6
scooby_predict_out_of_bounds_action_30 2
scooby_predict_action_32 7
scooby_predict_issue_action_32 5
scooby_predict_hit_action_32 2
scooby_predict_out_of_bounds_action_32 0
scooby_predict_action_-1 3
scooby_predict_issue_action_-1 2
scooby_predict_hit_action_-1 1
scooby_predict_out_of_bounds_action_-1 0
scooby_predict_action_-3 3
scooby_predict_issue_action_-3 1
scooby_predict_hit_action_-3 2
scooby_predict_out_of_bounds_action_-3 0
scooby_predict_action_-6 6
scooby_predict_issue_action_-6 3
scooby_predict_hit_action_-6 3
scooby_predict_out_of_bounds_action_-6 0
scooby_predict_action_0 36
scooby_predict_issue_action_0 0
scooby_predict_hit_action_0 0
scooby_predict_out_of_bounds_action_0 0
scooby_predict_multi_deg_called 15978
scooby_predict_predicted 90831
scooby_predict_multi_deg 74274
scooby_predict_multi_deg_2 15712
scooby_predict_multi_deg_3 15241
scooby_predict_multi_deg_4 14976
scooby_predict_multi_deg_5 14310
scooby_predict_multi_deg_6 14035
scooby_predict_multi_deg_7 0
scooby_predict_multi_deg_8 0
scooby_predict_multi_deg_9 0
scooby_predict_multi_deg_10 0
scooby_predict_multi_deg_11 0
scooby_predict_multi_deg_12 0
scooby_predict_multi_deg_13 0
scooby_predict_multi_deg_14 0
scooby_predict_multi_deg_15 0
scooby_predict_multi_deg_16 0

scooby_selected_deg_1 579
scooby_selected_deg_2 199
scooby_selected_deg_3 0
scooby_selected_deg_4 452
scooby_selected_deg_5 0
scooby_selected_deg_6 15327
scooby_selected_deg_7 0
scooby_selected_deg_8 0
scooby_selected_deg_9 0
scooby_selected_deg_10 0
scooby_selected_deg_11 0
scooby_selected_deg_12 0
scooby_selected_deg_13 0
scooby_selected_deg_14 0
scooby_selected_deg_15 0
scooby_selected_deg_16 0

scooby_state_40a7dd|21|1 177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,
scooby_state_40a7dd|19|1 177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,
scooby_state_40a7dd|20|1 175,0,0,0,0,0,0,1,0,0,0,0,0,0,0,176,
scooby_state_40a860|60|1 173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173,
scooby_state_40a860|59|1 172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,
scooby_state_40a860|20|1 171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171,
scooby_state_40a860|61|1 170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,
scooby_state_40a860|19|1 168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,
scooby_state_40a7dd|24|1 162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162,
scooby_state_40a7dd|22|1 162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162,
scooby_state_40a7dd|23|1 159,1,0,1,0,0,0,0,0,0,0,0,0,0,0,161,
scooby_state_40a860|22|1 158,0,0,0,0,0,0,0,1,0,0,0,0,0,0,159,
scooby_state_40a7dd|56|1 158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,
scooby_state_40a7dd|25|1 157,0,0,0,0,0,0,0,0,0,1,0,0,0,0,158,
scooby_state_40a860|26|1 157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,
scooby_state_40a860|21|1 157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,
scooby_state_40a860|23|1 157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,
scooby_state_40a860|27|1 157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,
scooby_state_40a7dd|58|1 155,0,1,0,0,0,0,0,0,0,0,0,0,0,0,156,
scooby_state_40a7dd|57|1 156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,
scooby_state_40a7dd|18|1 155,0,0,0,1,0,0,0,0,0,0,0,0,0,0,156,
scooby_state_40a860|24|1 156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,
scooby_state_40a860|28|1 155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,
scooby_state_40a860|25|1 154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154,
scooby_state_40a7dd|60|1 151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,
scooby_state_40a860|1|1 150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,
scooby_state_40a7dd|61|1 149,0,0,0,0,0,0,0,0,0,0,0,0,0,1,150,
scooby_state_40a860|5|1 148,0,0,0,0,0,0,0,1,0,0,0,0,0,0,149,
scooby_state_40a860|18|1 149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,
scooby_state_40a860|63|1 149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,
scooby_state_40a860|62|1 147,0,0,0,0,0,0,0,0,1,0,0,0,0,0,148,
scooby_state_40a860|2|1 147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,
scooby_state_40a7dd|62|1 147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,
scooby_state_40a860|11|1 146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,
scooby_state_40a860|12|1 145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,
scooby_state_40a860|13|1 144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,
scooby_state_40a860|30|1 143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,
scooby_state_40a7dd|16|1 142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,
scooby_state_40a860|29|1 141,0,0,0,0,0,1,0,0,0,0,0,0,0,0,142,
scooby_state_40a7dd|15|1 142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,
scooby_state_40a860|31|1 141,0,0,0,0,0,0,0,0,0,1,0,0,0,0,142,
scooby_state_40a7dd|1|1 142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,
scooby_state_40a7dd|26|1 142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,
scooby_state_40a7dd|28|1 142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,
scooby_state_40a7dd|17|1 140,0,0,0,0,0,0,0,0,0,0,0,0,1,0,141,
scooby_state_40a860|4|1 141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,
scooby_state_40a7dd|27|1 141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,
scooby_state_40a7dd|63|1 141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,
scooby_state_40a7dd|10|1 140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,
scooby_state_40a860|3|1 139,0,0,0,0,1,0,0,0,0,0,0,0,0,0,140,
scooby_state_40a7dd|2|1 138,0,0,0,0,0,0,0,0,0,1,0,0,0,0,139,
scooby_state_40a860|8|1 138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,
scooby_state_40a7dd|30|1 138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,
scooby_state_40a7dd|31|1 138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,
scooby_state_40a7dd|9|1 138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,
scooby_state_40a7dd|5|1 138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,
scooby_state_40a860|6|1 137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,
scooby_state_40a860|7|1 135,0,0,1,0,0,0,0,0,0,0,0,0,0,0,136,
scooby_state_40a860|56|1 135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,
scooby_state_40a7dd|32|1 134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,
scooby_state_40a860|57|1 134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,
scooby_state_40a7dd|6|1 134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,
scooby_state_40a7dd|8|1 134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,
scooby_state_40a7dd|59|1 133,0,0,0,0,1,0,0,0,0,0,0,0,0,0,134,
scooby_state_40a7dd|52|1 132,1,0,0,0,1,0,0,0,0,0,0,0,0,0,134,
scooby_state_40a7dd|54|1 134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,
scooby_state_40a7dd|53|1 134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,
scooby_state_40a7dd|7|1 132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,
scooby_state_40a860|35|1 132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,
scooby_state_40a860|58|1 132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,
scooby_state_40a860|34|1 132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,
scooby_state_40a860|33|1 132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,
scooby_state_40a7dd|55|1 130,0,0,0,1,0,0,0,0,0,0,0,0,0,0,131,
scooby_state_40a860|9|1 131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,
scooby_state_40a7dd|4|1 130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,
scooby_state_40a7dd|3|1 129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,
scooby_state_40a7dd|29|1 129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,
scooby_state_40a7dd|14|1 127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,
scooby_state_40a860|32|1 127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,
scooby_state_40a860|55|1 124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,
scooby_state_40a7dd|51|1 117,0,1,0,0,0,0,0,0,0,0,0,0,0,0,118,
scooby_state_40a860|52|1 118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,
scooby_state_40a860|51|1 118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,
scooby_state_40a860|53|1 118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,
scooby_state_40a860|10|1 117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,
scooby_state_40a7dd|11|1 116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,
scooby_state_40a7dd|13|1 116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,
