Original cmd-> /cluster/home/vlnitu/CA-Lab4-24-vlnitu/Pythia/bin/perceptron-no-multi-no-ship-1core --warmup_instructions=1000000 --simulation_instructions=10000000 --l2c_prefetcher_types=scooby --config=/cluster/home/vlnitu/CA-Lab4-24-vlnitu/Pythia/config/pythia.ini --mail-type=BEGIN,END  -traces /cluster/home/vlnitu/CA-Lab4-24-vlnitu/Pythia/traces/459.GemsFDTD-1211B.champsimtrace.xz
*************************************************
   ChampSim Multicore Out-of-Order Simulator
   Last compiled: Nov 19 2024 20:10:11
*************************************************
parsing config file: /cluster/home/vlnitu/CA-Lab4-24-vlnitu/Pythia/config/pythia.ini
unable to parse section: , name: mail-type, value: BEGIN,END

trace_0 /cluster/home/vlnitu/CA-Lab4-24-vlnitu/Pythia/traces/459.GemsFDTD-1211B.champsimtrace.xz
Core_0_L2C_prefetch_issued 228467
Core_0_L2C_prefetch_filled 120253
Core_0_L2C_prefetch_useful 67036
Core_0_L2C_prefetch_useless 51861
Core_0_L2C_prefetch_late 6
Core_0_L2C_average_miss_latency 166.35082

Core_0_L2C_rq_access 92977
Core_0_L2C_rq_forward 0
Core_0_L2C_rq_merged 0
Core_0_L2C_rq_to_cache 92952
Core_0_L2C_rq_full 0

Core_0_L2C_wq_access 44433
Core_0_L2C_wq_forward 25
Core_0_L2C_wq_merged 0
Core_0_L2C_wq_to_cache 44433
Core_0_L2C_wq_full 0

Core_0_L2C_pq_access 228467
Core_0_L2C_pq_forward 0
Core_0_L2C_pq_merged 101
Core_0_L2C_pq_to_cache 228366
Core_0_L2C_pq_full 0

Core_0_L2C_acc_epochs 15539
Core_0_L2C_acc_level_0 3
Core_0_L2C_acc_level_1 116
Core_0_L2C_acc_level_2 691
Core_0_L2C_acc_level_3 1211
Core_0_L2C_acc_level_4 1948
Core_0_L2C_acc_level_5 2962
Core_0_L2C_acc_level_6 2483
Core_0_L2C_acc_level_7 2032
Core_0_L2C_acc_level_8 1366
Core_0_L2C_acc_level_9 2727

Core_0_LLC_total_access 185314
Core_0_LLC_total_hit 41785
Core_0_LLC_total_miss 143529
Core_0_LLC_loads 31711
Core_0_LLC_load_hit 7891
Core_0_LLC_load_miss 23820
Core_0_LLC_RFOs 0
Core_0_LLC_RFO_hit 0
Core_0_LLC_RFO_miss 0
Core_0_LLC_prefetches 109222
Core_0_LLC_prefetch_hit 23874
Core_0_LLC_prefetch_miss 85348
Core_0_LLC_writebacks 44381
Core_0_LLC_writeback_hit 10020
Core_0_LLC_writeback_miss 34361
Core_0_LLC_prefetch_requested 0
Core_0_LLC_prefetch_dropped 0
Core_0_LLC_prefetch_issued 0
Core_0_LLC_prefetch_filled 95421
Core_0_LLC_prefetch_useful 35
Core_0_LLC_prefetch_useless 77998
Core_0_LLC_prefetch_late 0
Core_0_LLC_average_miss_latency 130.00096

Core_0_LLC_rq_access 31711
Core_0_LLC_rq_forward 0
Core_0_LLC_rq_merged 0
Core_0_LLC_rq_to_cache 31711
Core_0_LLC_rq_full 0

Core_0_LLC_wq_access 44382
Core_0_LLC_wq_forward 0
Core_0_LLC_wq_merged 0
Core_0_LLC_wq_to_cache 44382
Core_0_LLC_wq_full 0

Core_0_LLC_pq_access 120261
Core_0_LLC_pq_forward 0
Core_0_LLC_pq_merged 0
Core_0_LLC_pq_to_cache 120261
Core_0_LLC_pq_full 0

Core_0_LLC_acc_epochs 16585
Core_0_LLC_acc_level_0 16560
Core_0_LLC_acc_level_1 17
Core_0_LLC_acc_level_2 5
Core_0_LLC_acc_level_3 0
Core_0_LLC_acc_level_4 0
Core_0_LLC_acc_level_5 3
Core_0_LLC_acc_level_6 0
Core_0_LLC_acc_level_7 0
Core_0_LLC_acc_level_8 0
Core_0_LLC_acc_level_9 0

Core_0_major_page_fault 0
Core_0_minor_page_fault 12112

scooby_st_lookup 102322
scooby_st_hit 86415
scooby_st_evict 15843
scooby_st_insert 15907
scooby_st_streaming 0

scooby_predict_called 102322
scooby_predict_out_of_bounds 1716
scooby_predict_action_1 100427
scooby_predict_issue_action_1 100257
scooby_predict_hit_action_1 170
scooby_predict_out_of_bounds_action_1 1651
scooby_predict_action_3 27
scooby_predict_issue_action_3 27
scooby_predict_hit_action_3 0
scooby_predict_out_of_bounds_action_3 6
scooby_predict_action_4 14
scooby_predict_issue_action_4 14
scooby_predict_hit_action_4 0
scooby_predict_out_of_bounds_action_4 6
scooby_predict_action_5 26
scooby_predict_issue_action_5 26
scooby_predict_hit_action_5 0
scooby_predict_out_of_bounds_action_5 4
scooby_predict_action_10 14
scooby_predict_issue_action_10 14
scooby_predict_hit_action_10 0
scooby_predict_out_of_bounds_action_10 11
scooby_predict_action_11 13
scooby_predict_issue_action_11 13
scooby_predict_hit_action_11 0
scooby_predict_out_of_bounds_action_11 2
scooby_predict_action_12 10
scooby_predict_issue_action_12 10
scooby_predict_hit_action_12 0
scooby_predict_out_of_bounds_action_12 3
scooby_predict_action_22 7
scooby_predict_issue_action_22 7
scooby_predict_hit_action_22 0
scooby_predict_out_of_bounds_action_22 9
scooby_predict_action_23 9
scooby_predict_issue_action_23 9
scooby_predict_hit_action_23 0
scooby_predict_out_of_bounds_action_23 7
scooby_predict_action_30 5
scooby_predict_issue_action_30 5
scooby_predict_hit_action_30 0
scooby_predict_out_of_bounds_action_30 9
scooby_predict_action_32 7
scooby_predict_issue_action_32 7
scooby_predict_hit_action_32 0
scooby_predict_out_of_bounds_action_32 8
scooby_predict_action_-1 15
scooby_predict_issue_action_-1 14
scooby_predict_hit_action_-1 1
scooby_predict_out_of_bounds_action_-1 0
scooby_predict_action_-3 10
scooby_predict_issue_action_-3 8
scooby_predict_hit_action_-3 2
scooby_predict_out_of_bounds_action_-3 0
scooby_predict_action_-6 9
scooby_predict_issue_action_-6 7
scooby_predict_hit_action_-6 2
scooby_predict_out_of_bounds_action_-6 0
scooby_predict_action_0 13
scooby_predict_issue_action_0 0
scooby_predict_hit_action_0 0
scooby_predict_out_of_bounds_action_0 0
scooby_predict_multi_deg_called 52753
scooby_predict_predicted 228482
scooby_predict_multi_deg 128064
scooby_predict_multi_deg_2 51157
scooby_predict_multi_deg_3 22297
scooby_predict_multi_deg_4 20885
scooby_predict_multi_deg_5 17031
scooby_predict_multi_deg_6 16694
scooby_predict_multi_deg_7 0
scooby_predict_multi_deg_8 0
scooby_predict_multi_deg_9 0
scooby_predict_multi_deg_10 0
scooby_predict_multi_deg_11 0
scooby_predict_multi_deg_12 0
scooby_predict_multi_deg_13 0
scooby_predict_multi_deg_14 0
scooby_predict_multi_deg_15 0
scooby_predict_multi_deg_16 0

scooby_selected_deg_1 47665
scooby_selected_deg_2 27629
scooby_selected_deg_3 0
scooby_selected_deg_4 6683
scooby_selected_deg_5 0
scooby_selected_deg_6 18441
scooby_selected_deg_7 0
scooby_selected_deg_8 0
scooby_selected_deg_9 0
scooby_selected_deg_10 0
scooby_selected_deg_11 0
scooby_selected_deg_12 0
scooby_selected_deg_13 0
scooby_selected_deg_14 0
scooby_selected_deg_15 0
scooby_selected_deg_16 0

scooby_state_4465e9|0|0 156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,
scooby_state_446791|0|0 156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,
scooby_state_446907|0|0 155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,
scooby_state_446626|0|0 155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,
scooby_state_4469ae|0|0 149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,
scooby_state_4466d9|0|0 149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,
scooby_state_44684c|0|0 148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,
scooby_state_446902|36|1 108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,
scooby_state_446902|0|0 108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,
scooby_state_4467b9|0|0 108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,
scooby_state_446635|33|1 107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,
scooby_state_446902|47|1 107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,
scooby_state_4467b9|36|1 107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,
scooby_state_4467b9|52|1 107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,
scooby_state_446635|39|1 107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,
scooby_state_446635|43|1 107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,
scooby_state_4467b9|61|1 107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,
scooby_state_446902|52|1 107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,
scooby_state_446902|48|1 107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,
scooby_state_446635|59|1 107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,
scooby_state_4467b9|33|1 106,0,0,0,0,0,0,0,0,0,1,0,0,0,0,107,
scooby_state_446635|38|1 107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,
scooby_state_4467b9|35|1 106,1,0,0,0,0,0,0,0,0,0,0,0,0,0,107,
scooby_state_446902|32|1 107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,
scooby_state_446902|43|1 106,1,0,0,0,0,0,0,0,0,0,0,0,0,0,107,
scooby_state_446902|38|1 107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,
scooby_state_446635|61|1 105,0,0,0,1,0,0,1,0,0,0,0,0,0,0,107,
scooby_state_4467b9|41|1 107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,
scooby_state_446902|62|1 107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,
scooby_state_446635|41|1 106,1,0,0,0,0,0,0,0,0,0,0,0,0,0,107,
scooby_state_4467b9|34|1 107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,
scooby_state_446635|58|1 107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,
scooby_state_4467b9|50|1 107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,
scooby_state_446902|50|1 107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,
scooby_state_4467b9|31|1 107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,
scooby_state_4467b9|58|1 107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,
scooby_state_4467b9|44|1 107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,
scooby_state_446635|46|1 107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,
scooby_state_446902|59|1 107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,
scooby_state_4467b9|49|1 107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,
scooby_state_446902|45|1 107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,
scooby_state_446902|39|1 107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,
scooby_state_4467b9|42|1 106,1,0,0,0,0,0,0,0,0,0,0,0,0,0,107,
scooby_state_4467b9|46|1 107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,
scooby_state_446902|55|1 107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,
scooby_state_4467b9|30|1 107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,
scooby_state_446902|49|1 107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,
scooby_state_446635|55|1 107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,
scooby_state_4467b9|59|1 107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,
scooby_state_446635|48|1 107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,
scooby_state_4467b9|37|1 107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,
scooby_state_446902|44|1 106,1,0,0,0,0,0,0,0,0,0,0,0,0,0,107,
scooby_state_4467b9|45|1 107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,
scooby_state_446635|36|1 107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,
scooby_state_446902|56|1 107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,
scooby_state_446902|42|1 107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,
scooby_state_4467b9|54|1 107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,
scooby_state_446635|63|1 107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,
scooby_state_446635|32|1 107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,
scooby_state_446635|49|1 107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,
scooby_state_4467b9|57|1 107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,
scooby_state_446635|44|1 106,0,0,0,0,0,0,0,0,0,0,0,1,0,0,107,
scooby_state_446635|52|1 106,0,0,0,0,0,1,0,0,0,0,0,0,0,0,107,
scooby_state_446635|45|1 107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,
scooby_state_4467b9|51|1 107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,
scooby_state_446635|60|1 107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,
scooby_state_4467b9|47|1 107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,
scooby_state_446635|56|1 106,0,0,0,0,0,0,0,1,0,0,0,0,0,0,107,
scooby_state_4467b9|38|1 107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,
scooby_state_446635|42|1 107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,
scooby_state_4467b9|60|1 107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,
scooby_state_446635|30|1 107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,
scooby_state_446902|60|1 107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,
scooby_state_446902|61|1 107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,
scooby_state_4467b9|32|1 107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,
scooby_state_446635|31|1 107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,
scooby_state_446635|35|1 107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,
scooby_state_446902|51|1 107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,
scooby_state_446635|62|1 107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,
scooby_state_446902|34|1 107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,
scooby_state_446902|41|1 106,1,0,0,0,0,0,0,0,0,0,0,0,0,0,107,
scooby_state_446635|37|1 107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,
scooby_state_4467b9|56|1 107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,
scooby_state_446902|46|1 107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,
scooby_state_446902|35|1 107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,
scooby_state_446902|57|1 107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,
scooby_state_4467b9|62|1 106,0,0,1,0,0,0,0,0,0,0,0,0,0,0,107,
scooby_state_4467b9|63|1 107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,
scooby_state_446635|0|0 107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,
