Original cmd-> /cluster/home/vlnitu/CA-Lab4-24-vlnitu/Pythia/bin/perceptron-no-multi-no-ship-1core --warmup_instructions=1000000 --simulation_instructions=10000000 --l2c_prefetcher_types=scooby --config=/cluster/home/vlnitu/CA-Lab4-24-vlnitu/Pythia/config/pythia.ini --mail-type=BEGIN,END  -traces /cluster/home/vlnitu/CA-Lab4-24-vlnitu/Pythia/traces/445.gobmk-30B.champsimtrace.xz
*************************************************
   ChampSim Multicore Out-of-Order Simulator
   Last compiled: Nov 19 2024 20:10:11
*************************************************
parsing config file: /cluster/home/vlnitu/CA-Lab4-24-vlnitu/Pythia/config/pythia.ini
unable to parse section: , name: mail-type, value: BEGIN,END

trace_0 /cluster/home/vlnitu/CA-Lab4-24-vlnitu/Pythia/traces/445.gobmk-30B.champsimtrace.xz
Core_0_L2C_prefetch_issued 156553
Core_0_L2C_prefetch_filled 11516
Core_0_L2C_prefetch_useful 5166
Core_0_L2C_prefetch_useless 5394
Core_0_L2C_prefetch_late 536
Core_0_L2C_average_miss_latency 142.29120

Core_0_L2C_rq_access 68964
Core_0_L2C_rq_forward 0
Core_0_L2C_rq_merged 0
Core_0_L2C_rq_to_cache 68963
Core_0_L2C_rq_full 0

Core_0_L2C_wq_access 16911
Core_0_L2C_wq_forward 1
Core_0_L2C_wq_merged 0
Core_0_L2C_wq_to_cache 16911
Core_0_L2C_wq_full 0

Core_0_L2C_pq_access 156553
Core_0_L2C_pq_forward 0
Core_0_L2C_pq_merged 25368
Core_0_L2C_pq_to_cache 131185
Core_0_L2C_pq_full 0

Core_0_L2C_acc_epochs 26997
Core_0_L2C_acc_level_0 23504
Core_0_L2C_acc_level_1 1214
Core_0_L2C_acc_level_2 933
Core_0_L2C_acc_level_3 235
Core_0_L2C_acc_level_4 112
Core_0_L2C_acc_level_5 572
Core_0_L2C_acc_level_6 88
Core_0_L2C_acc_level_7 76
Core_0_L2C_acc_level_8 36
Core_0_L2C_acc_level_9 227

Core_0_LLC_total_access 23874
Core_0_LLC_total_hit 10303
Core_0_LLC_total_miss 13571
Core_0_LLC_loads 4792
Core_0_LLC_load_hit 1027
Core_0_LLC_load_miss 3765
Core_0_LLC_RFOs 2645
Core_0_LLC_RFO_hit 1033
Core_0_LLC_RFO_miss 1612
Core_0_LLC_prefetches 11871
Core_0_LLC_prefetch_hit 3677
Core_0_LLC_prefetch_miss 8194
Core_0_LLC_writebacks 4566
Core_0_LLC_writeback_hit 4566
Core_0_LLC_writeback_miss 0
Core_0_LLC_prefetch_requested 0
Core_0_LLC_prefetch_dropped 0
Core_0_LLC_prefetch_issued 0
Core_0_LLC_prefetch_filled 8375
Core_0_LLC_prefetch_useful 391
Core_0_LLC_prefetch_useless 0
Core_0_LLC_prefetch_late 0
Core_0_LLC_average_miss_latency 163.01091

Core_0_LLC_rq_access 7437
Core_0_LLC_rq_forward 0
Core_0_LLC_rq_merged 0
Core_0_LLC_rq_to_cache 7437
Core_0_LLC_rq_full 0

Core_0_LLC_wq_access 4566
Core_0_LLC_wq_forward 0
Core_0_LLC_wq_merged 0
Core_0_LLC_wq_to_cache 4566
Core_0_LLC_wq_full 0

Core_0_LLC_pq_access 12052
Core_0_LLC_pq_forward 0
Core_0_LLC_pq_merged 0
Core_0_LLC_pq_to_cache 12052
Core_0_LLC_pq_full 0

Core_0_LLC_acc_epochs 27157
Core_0_LLC_acc_level_0 26947
Core_0_LLC_acc_level_1 80
Core_0_LLC_acc_level_2 61
Core_0_LLC_acc_level_3 5
Core_0_LLC_acc_level_4 0
Core_0_LLC_acc_level_5 43
Core_0_LLC_acc_level_6 2
Core_0_LLC_acc_level_7 2
Core_0_LLC_acc_level_8 0
Core_0_LLC_acc_level_9 17

Core_0_major_page_fault 0
Core_0_minor_page_fault 1648

scooby_st_lookup 57046
scooby_st_hit 52027
scooby_st_evict 4955
scooby_st_insert 5019
scooby_st_streaming 0

scooby_predict_called 57046
scooby_predict_out_of_bounds 2021
scooby_predict_action_1 47545
scooby_predict_issue_action_1 35926
scooby_predict_hit_action_1 11619
scooby_predict_out_of_bounds_action_1 986
scooby_predict_action_3 4104
scooby_predict_issue_action_3 3367
scooby_predict_hit_action_3 737
scooby_predict_out_of_bounds_action_3 235
scooby_predict_action_4 280
scooby_predict_issue_action_4 267
scooby_predict_hit_action_4 13
scooby_predict_out_of_bounds_action_4 21
scooby_predict_action_5 259
scooby_predict_issue_action_5 251
scooby_predict_hit_action_5 8
scooby_predict_out_of_bounds_action_5 33
scooby_predict_action_10 215
scooby_predict_issue_action_10 205
scooby_predict_hit_action_10 10
scooby_predict_out_of_bounds_action_10 58
scooby_predict_action_11 317
scooby_predict_issue_action_11 269
scooby_predict_hit_action_11 48
scooby_predict_out_of_bounds_action_11 59
scooby_predict_action_12 177
scooby_predict_issue_action_12 168
scooby_predict_hit_action_12 9
scooby_predict_out_of_bounds_action_12 48
scooby_predict_action_22 296
scooby_predict_issue_action_22 271
scooby_predict_hit_action_22 25
scooby_predict_out_of_bounds_action_22 168
scooby_predict_action_23 248
scooby_predict_issue_action_23 241
scooby_predict_hit_action_23 7
scooby_predict_out_of_bounds_action_23 112
scooby_predict_action_30 138
scooby_predict_issue_action_30 125
scooby_predict_hit_action_30 13
scooby_predict_out_of_bounds_action_30 138
scooby_predict_action_32 99
scooby_predict_issue_action_32 92
scooby_predict_hit_action_32 7
scooby_predict_out_of_bounds_action_32 115
scooby_predict_action_-1 309
scooby_predict_issue_action_-1 256
scooby_predict_hit_action_-1 53
scooby_predict_out_of_bounds_action_-1 7
scooby_predict_action_-3 420
scooby_predict_issue_action_-3 383
scooby_predict_hit_action_-3 37
scooby_predict_out_of_bounds_action_-3 17
scooby_predict_action_-6 262
scooby_predict_issue_action_-6 234
scooby_predict_hit_action_-6 28
scooby_predict_out_of_bounds_action_-6 24
scooby_predict_action_0 356
scooby_predict_issue_action_0 0
scooby_predict_hit_action_0 0
scooby_predict_out_of_bounds_action_0 0
scooby_predict_multi_deg_called 29690
scooby_predict_predicted 156673
scooby_predict_multi_deg 114618
scooby_predict_multi_deg_2 28714
scooby_predict_multi_deg_3 24755
scooby_predict_multi_deg_4 24151
scooby_predict_multi_deg_5 18608
scooby_predict_multi_deg_6 18390
scooby_predict_multi_deg_7 0
scooby_predict_multi_deg_8 0
scooby_predict_multi_deg_9 0
scooby_predict_multi_deg_10 0
scooby_predict_multi_deg_11 0
scooby_predict_multi_deg_12 0
scooby_predict_multi_deg_13 0
scooby_predict_multi_deg_14 0
scooby_predict_multi_deg_15 0
scooby_predict_multi_deg_16 0

scooby_selected_deg_1 12365
scooby_selected_deg_2 3157
scooby_selected_deg_3 0
scooby_selected_deg_4 5572
scooby_selected_deg_5 0
scooby_selected_deg_6 20961
scooby_selected_deg_7 0
scooby_selected_deg_8 0
scooby_selected_deg_9 0
scooby_selected_deg_10 0
scooby_selected_deg_11 0
scooby_selected_deg_12 0
scooby_selected_deg_13 0
scooby_selected_deg_14 0
scooby_selected_deg_15 0
scooby_selected_deg_16 0

scooby_state_40a100|4|1 167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167,
scooby_state_40a0c0|3|1 162,0,1,0,0,0,0,0,0,0,0,0,0,0,0,163,
scooby_state_40b0c0|3|1 158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,
scooby_state_43a136|4|1 140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,
scooby_state_43a0c2|3|1 130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,
scooby_state_40a180|6|1 98,0,2,0,0,1,0,0,5,1,0,2,2,2,1,114,
scooby_state_43e132|4|1 112,0,2,0,0,0,0,0,0,0,0,0,0,0,0,114,
scooby_state_40a144|5|1 113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,
scooby_state_40713c|4|1 107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,
scooby_state_4070c2|3|1 107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,
scooby_state_43a1c0|7|1 106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,
scooby_state_43d1e2|7|1 104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,
scooby_state_43d201|8|1 98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,
scooby_state_40812e|4|1 83,15,0,0,0,0,0,0,0,0,0,0,0,0,0,98,
scooby_state_43ef80|62|1 97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,
scooby_state_405f81|62|1 86,0,0,0,1,4,1,1,0,0,0,0,0,0,0,93,
scooby_state_43b081|2|1 92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,
scooby_state_43f204|8|1 48,1,0,0,0,43,0,0,0,0,0,0,0,0,0,92,
scooby_state_43a140|5|1 14,77,0,0,0,0,0,0,0,0,0,0,0,0,0,91,
scooby_state_439fc3|63|1 54,14,0,0,1,2,0,0,1,2,0,14,1,1,0,90,
scooby_state_43f1a7|6|1 90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,
scooby_state_43f140|5|1 89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,
scooby_state_405f42|61|1 87,1,0,0,0,0,0,0,0,0,0,0,0,0,0,88,
scooby_state_4389c2|39|1 87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,
scooby_state_4410c0|3|1 84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,
scooby_state_43d04f|1|1 83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,
scooby_state_441164|5|2 77,2,0,1,0,0,0,0,0,0,0,0,1,0,0,81,
scooby_state_43a190|6|1 0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,81,
scooby_state_43d184|6|1 80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,
scooby_state_441103|4|-1 25,54,0,0,0,0,0,0,0,0,0,0,0,0,0,79,
scooby_state_4051c1|7|1 70,1,0,0,3,4,0,0,0,0,0,0,0,0,0,78,
scooby_state_4051a6|6|1 74,4,0,0,0,0,0,0,0,0,0,0,0,0,0,78,
scooby_state_44a100|4|1 77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,
scooby_state_408f85|62|1 77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,
scooby_state_43a945|37|1 77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,
scooby_state_4059c3|39|1 49,25,0,0,2,0,0,0,0,0,0,0,0,0,0,76,
scooby_state_449f83|62|1 76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,
scooby_state_44a140|5|1 75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,
scooby_state_44a0c3|3|1 74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,
scooby_state_405998|38|1 74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,
scooby_state_43afc2|63|1 73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,
scooby_state_43e008|0|-2 72,0,0,0,0,0,0,0,0,0,0,0,0,0,1,73,
scooby_state_405952|37|1 73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,
scooby_state_43ff42|61|1 73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,
scooby_state_407186|6|1 73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,
scooby_state_43dfc3|63|1 50,15,1,0,2,1,1,1,1,0,0,0,0,0,0,72,
scooby_state_43a904|36|1 71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,
scooby_state_43af42|61|1 71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,
scooby_state_439081|2|1 61,9,0,0,0,0,0,0,0,0,0,0,0,0,0,70,
scooby_state_4079c1|39|1 70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,
scooby_state_43af80|62|1 70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,
scooby_state_40bc02|48|1 67,0,0,0,0,0,1,0,0,0,0,0,0,0,1,69,
scooby_state_405907|36|1 68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,
scooby_state_441083|2|1 67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,
scooby_state_43d481|18|1 64,1,0,0,0,0,0,0,0,0,0,0,0,0,0,65,
scooby_state_441353|13|9 65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,
scooby_state_449f47|61|1 65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,
scooby_state_449fc6|63|1 25,0,2,2,0,1,2,2,1,2,1,18,1,8,0,65,
scooby_state_43ec6a|49|1 65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,
scooby_state_40df84|62|1 64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,
scooby_state_404904|36|1 64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,
scooby_state_43cf40|61|1 63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,
scooby_state_407143|5|1 63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,
scooby_state_40b143|5|1 63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,
scooby_state_44a083|2|1 63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,
scooby_state_40af44|61|24 63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,
scooby_state_4086a8|26|22 62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,
scooby_state_44a047|1|1 62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,
scooby_state_40c9dd|39|2 57,3,1,0,0,0,0,0,0,0,0,0,0,0,0,61,
scooby_state_40e143|5|1 61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,
scooby_state_409105|4|0 55,0,0,0,0,5,0,0,0,0,0,0,0,0,0,60,
scooby_state_43c9c7|39|1 17,3,1,1,1,1,1,34,0,0,0,0,1,0,0,60,
scooby_state_4409c1|39|1 34,0,0,0,0,25,0,0,0,0,0,0,0,0,0,59,
scooby_state_43d094|2|1 29,30,0,0,0,0,0,0,0,0,0,0,0,0,0,59,
scooby_state_4404c4|19|2 59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,
scooby_state_4064c6|19|1 46,5,1,0,0,0,0,0,0,0,0,6,0,0,0,58,
scooby_state_43b984|38|1 57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,
scooby_state_43a980|38|1 57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,
scooby_state_449c44|49|1 56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,
scooby_state_43d9c3|39|1 56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,
scooby_state_4071c0|7|1 29,0,1,1,0,0,1,1,1,22,0,0,0,0,0,56,
scooby_state_449c20|48|-15 55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,
scooby_state_409040|1|1 25,30,0,0,0,0,0,0,0,0,0,0,0,0,0,55,
scooby_state_40b103|4|1 52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,
scooby_state_43cf80|62|1 52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,
scooby_state_438f83|62|1 52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,
scooby_state_449c83|50|1 52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,
scooby_state_449d18|52|1 51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,
