Original cmd-> /cluster/home/vlnitu/CA-Lab4-24-vlnitu/Pythia/bin/perceptron-no-multi-no-ship-1core --warmup_instructions=1000000 --simulation_instructions=10000000 --l2c_prefetcher_types=scooby --config=/cluster/home/vlnitu/CA-Lab4-24-vlnitu/Pythia/config/pythia.ini --mail-type=BEGIN,END  -traces /cluster/home/vlnitu/CA-Lab4-24-vlnitu/Pythia/traces/471.omnetpp-188B.champsimtrace.xz
*************************************************
   ChampSim Multicore Out-of-Order Simulator
   Last compiled: Nov 19 2024 20:10:11
*************************************************
parsing config file: /cluster/home/vlnitu/CA-Lab4-24-vlnitu/Pythia/config/pythia.ini
unable to parse section: , name: mail-type, value: BEGIN,END

trace_0 /cluster/home/vlnitu/CA-Lab4-24-vlnitu/Pythia/traces/471.omnetpp-188B.champsimtrace.xz
Core_0_L2C_prefetch_issued 215610
Core_0_L2C_prefetch_filled 148445
Core_0_L2C_prefetch_useful 56207
Core_0_L2C_prefetch_useless 91269
Core_0_L2C_prefetch_late 9412
Core_0_L2C_average_miss_latency 180.13626

Core_0_L2C_rq_access 247913
Core_0_L2C_rq_forward 0
Core_0_L2C_rq_merged 0
Core_0_L2C_rq_to_cache 247905
Core_0_L2C_rq_full 0

Core_0_L2C_wq_access 107735
Core_0_L2C_wq_forward 8
Core_0_L2C_wq_merged 0
Core_0_L2C_wq_to_cache 107735
Core_0_L2C_wq_full 0

Core_0_L2C_pq_access 215610
Core_0_L2C_pq_forward 0
Core_0_L2C_pq_merged 1340
Core_0_L2C_pq_to_cache 214270
Core_0_L2C_pq_full 0

Core_0_L2C_acc_epochs 32159
Core_0_L2C_acc_level_0 3083
Core_0_L2C_acc_level_1 2878
Core_0_L2C_acc_level_2 4435
Core_0_L2C_acc_level_3 5749
Core_0_L2C_acc_level_4 5162
Core_0_L2C_acc_level_5 3897
Core_0_L2C_acc_level_6 2566
Core_0_L2C_acc_level_7 1519
Core_0_L2C_acc_level_8 909
Core_0_L2C_acc_level_9 1961

Core_0_LLC_total_access 408245
Core_0_LLC_total_hit 103450
Core_0_LLC_total_miss 304795
Core_0_LLC_loads 137554
Core_0_LLC_load_hit 27740
Core_0_LLC_load_miss 109814
Core_0_LLC_RFOs 29788
Core_0_LLC_RFO_hit 5427
Core_0_LLC_RFO_miss 24361
Core_0_LLC_prefetches 140531
Core_0_LLC_prefetch_hit 17606
Core_0_LLC_prefetch_miss 122925
Core_0_LLC_writebacks 100372
Core_0_LLC_writeback_hit 52677
Core_0_LLC_writeback_miss 47695
Core_0_LLC_prefetch_requested 0
Core_0_LLC_prefetch_dropped 0
Core_0_LLC_prefetch_issued 0
Core_0_LLC_prefetch_filled 139880
Core_0_LLC_prefetch_useful 1551
Core_0_LLC_prefetch_useless 133333
Core_0_LLC_prefetch_late 0
Core_0_LLC_average_miss_latency 148.91455

Core_0_LLC_rq_access 167342
Core_0_LLC_rq_forward 0
Core_0_LLC_rq_merged 0
Core_0_LLC_rq_to_cache 167342
Core_0_LLC_rq_full 0

Core_0_LLC_wq_access 100372
Core_0_LLC_wq_forward 0
Core_0_LLC_wq_merged 0
Core_0_LLC_wq_to_cache 100372
Core_0_LLC_wq_full 0

Core_0_LLC_pq_access 157857
Core_0_LLC_pq_forward 0
Core_0_LLC_pq_merged 0
Core_0_LLC_pq_to_cache 157857
Core_0_LLC_pq_full 0

Core_0_LLC_acc_epochs 36930
Core_0_LLC_acc_level_0 35075
Core_0_LLC_acc_level_1 1037
Core_0_LLC_acc_level_2 490
Core_0_LLC_acc_level_3 64
Core_0_LLC_acc_level_4 10
Core_0_LLC_acc_level_5 221
Core_0_LLC_acc_level_6 5
Core_0_LLC_acc_level_7 9
Core_0_LLC_acc_level_8 1
Core_0_LLC_acc_level_9 18

Core_0_major_page_fault 0
Core_0_minor_page_fault 16325

scooby_st_lookup 238292
scooby_st_hit 159315
scooby_st_evict 78913
scooby_st_insert 78977
scooby_st_streaming 0

scooby_predict_called 238292
scooby_predict_out_of_bounds 12252
scooby_predict_action_1 97920
scooby_predict_issue_action_1 81086
scooby_predict_hit_action_1 16834
scooby_predict_out_of_bounds_action_1 1469
scooby_predict_action_3 61432
scooby_predict_issue_action_3 59534
scooby_predict_hit_action_3 1898
scooby_predict_out_of_bounds_action_3 2985
scooby_predict_action_4 8203
scooby_predict_issue_action_4 7445
scooby_predict_hit_action_4 758
scooby_predict_out_of_bounds_action_4 564
scooby_predict_action_5 5490
scooby_predict_issue_action_5 5445
scooby_predict_hit_action_5 45
scooby_predict_out_of_bounds_action_5 384
scooby_predict_action_10 9271
scooby_predict_issue_action_10 5694
scooby_predict_hit_action_10 3577
scooby_predict_out_of_bounds_action_10 1529
scooby_predict_action_11 2469
scooby_predict_issue_action_11 2223
scooby_predict_hit_action_11 246
scooby_predict_out_of_bounds_action_11 487
scooby_predict_action_12 2509
scooby_predict_issue_action_12 2196
scooby_predict_hit_action_12 313
scooby_predict_out_of_bounds_action_12 515
scooby_predict_action_22 1116
scooby_predict_issue_action_22 1096
scooby_predict_hit_action_22 20
scooby_predict_out_of_bounds_action_22 562
scooby_predict_action_23 1121
scooby_predict_issue_action_23 1111
scooby_predict_hit_action_23 10
scooby_predict_out_of_bounds_action_23 600
scooby_predict_action_30 2021
scooby_predict_issue_action_30 1999
scooby_predict_hit_action_30 22
scooby_predict_out_of_bounds_action_30 1649
scooby_predict_action_32 816
scooby_predict_issue_action_32 802
scooby_predict_hit_action_32 14
scooby_predict_out_of_bounds_action_32 719
scooby_predict_action_-1 17415
scooby_predict_issue_action_-1 12549
scooby_predict_hit_action_-1 4866
scooby_predict_out_of_bounds_action_-1 250
scooby_predict_action_-3 6515
scooby_predict_issue_action_-3 5443
scooby_predict_hit_action_-3 1072
scooby_predict_out_of_bounds_action_-3 350
scooby_predict_action_-6 2362
scooby_predict_issue_action_-6 1660
scooby_predict_hit_action_-6 702
scooby_predict_out_of_bounds_action_-6 189
scooby_predict_action_0 7380
scooby_predict_issue_action_0 0
scooby_predict_hit_action_0 0
scooby_predict_out_of_bounds_action_0 0
scooby_predict_multi_deg_called 15884
scooby_predict_predicted 215610
scooby_predict_multi_deg 27327
scooby_predict_multi_deg_2 15011
scooby_predict_multi_deg_3 5360
scooby_predict_multi_deg_4 5005
scooby_predict_multi_deg_5 998
scooby_predict_multi_deg_6 953
scooby_predict_multi_deg_7 0
scooby_predict_multi_deg_8 0
scooby_predict_multi_deg_9 0
scooby_predict_multi_deg_10 0
scooby_predict_multi_deg_11 0
scooby_predict_multi_deg_12 0
scooby_predict_multi_deg_13 0
scooby_predict_multi_deg_14 0
scooby_predict_multi_deg_15 0
scooby_predict_multi_deg_16 0

scooby_selected_deg_1 172399
scooby_selected_deg_2 9821
scooby_selected_deg_3 0
scooby_selected_deg_4 4845
scooby_selected_deg_5 0
scooby_selected_deg_6 1218
scooby_selected_deg_7 0
scooby_selected_deg_8 0
scooby_selected_deg_9 0
scooby_selected_deg_10 0
scooby_selected_deg_11 0
scooby_selected_deg_12 0
scooby_selected_deg_13 0
scooby_selected_deg_14 0
scooby_selected_deg_15 0
scooby_selected_deg_16 0

scooby_state_45435a|24|0 210,8,1,0,3,1,1,1,4,2,1,33,2,1,3,271,
scooby_state_454351|39|0 225,2,0,0,0,1,1,0,1,1,1,1,0,0,2,235,
scooby_state_45435a|42|0 167,7,2,1,1,2,2,1,0,0,2,40,1,1,4,231,
scooby_state_454351|41|0 215,3,1,1,0,0,0,1,1,1,0,1,1,3,2,230,
scooby_state_45435a|54|0 172,6,0,1,0,2,1,2,2,0,0,37,0,2,0,225,
scooby_state_454351|5|0 197,1,2,0,1,0,3,1,1,0,2,5,2,5,5,225,
scooby_state_454351|9|0 214,1,0,1,1,1,0,0,0,0,0,2,2,0,2,224,
scooby_state_45435a|39|0 168,7,1,1,1,0,1,1,0,0,0,36,2,0,1,219,
scooby_state_454351|16|0 192,0,4,2,2,1,3,0,1,0,1,4,2,0,4,216,
scooby_state_454351|46|0 192,4,2,0,0,2,3,2,0,0,0,4,1,1,2,213,
scooby_state_454351|13|0 190,3,1,1,1,2,2,2,0,0,2,1,1,0,6,212,
scooby_state_45435a|15|0 162,5,0,3,1,0,0,2,0,0,0,34,1,1,2,211,
scooby_state_454351|54|0 192,0,0,0,1,1,0,2,1,2,4,3,0,1,3,210,
scooby_state_45435a|58|0 146,6,0,2,1,0,4,2,0,0,3,38,0,2,4,208,
scooby_state_45435a|11|0 160,7,2,0,1,1,1,0,2,2,1,30,0,0,1,208,
scooby_state_454351|52|0 191,2,2,2,1,0,0,2,1,0,1,1,1,3,0,207,
scooby_state_45435a|17|0 139,5,1,2,1,0,0,0,1,2,2,51,1,1,0,206,
scooby_state_45435a|38|0 157,1,0,2,0,1,0,2,2,0,2,36,0,0,3,206,
scooby_state_454351|14|0 186,1,1,2,1,3,2,1,0,1,0,1,1,2,4,206,
scooby_state_454351|40|0 187,0,1,4,0,1,2,1,0,0,1,5,1,0,2,205,
scooby_state_454351|32|0 185,2,1,0,1,0,0,4,1,0,2,3,3,0,2,204,
scooby_state_454351|58|0 186,2,0,3,2,0,1,3,0,0,1,3,0,0,1,202,
scooby_state_45435a|35|0 141,5,0,3,0,0,2,2,1,0,1,40,0,4,3,202,
scooby_state_454351|56|0 185,1,1,1,1,0,0,1,1,1,2,2,1,0,5,202,
scooby_state_45435a|22|0 156,2,1,1,0,0,1,1,1,2,0,33,0,2,2,202,
scooby_state_454351|61|0 190,5,0,0,1,1,0,0,0,2,0,0,0,1,2,202,
scooby_state_45435a|57|0 158,7,1,0,0,3,0,0,0,1,0,28,1,1,1,201,
scooby_state_454351|0|0 184,1,1,0,2,0,1,1,1,1,1,4,1,0,3,201,
scooby_state_454351|17|0 191,1,3,1,0,0,0,1,0,1,0,2,0,0,1,201,
scooby_state_454351|30|0 184,1,1,1,1,0,1,0,1,2,0,3,0,1,3,199,
scooby_state_45435a|31|0 152,4,1,1,1,1,2,0,0,0,2,30,1,1,2,198,
scooby_state_45435a|48|0 146,2,1,2,3,0,1,1,0,0,0,35,2,3,1,197,
scooby_state_45435a|41|0 151,4,0,0,0,0,2,2,1,3,0,30,2,0,1,196,
scooby_state_454351|19|0 169,1,1,1,5,1,0,0,1,1,1,2,1,1,7,192,
scooby_state_45435a|52|0 145,7,0,2,2,1,0,0,1,2,0,28,0,0,2,190,
scooby_state_454351|50|0 176,0,0,2,0,1,0,2,1,1,0,2,1,2,2,190,
scooby_state_45435a|59|0 141,6,0,0,0,1,3,2,3,0,3,24,1,0,5,189,
scooby_state_454351|24|0 178,0,0,1,0,0,1,3,0,1,0,2,0,1,2,189,
scooby_state_454351|33|0 170,0,3,1,0,1,0,1,0,1,1,3,2,2,1,186,
scooby_state_45435a|56|0 134,6,1,1,3,2,0,0,1,2,0,32,1,1,2,186,
scooby_state_45435a|5|0 132,6,1,0,1,0,1,1,0,0,0,42,1,0,1,186,
scooby_state_45435a|13|0 132,9,1,1,1,1,1,1,0,0,1,32,1,2,3,186,
scooby_state_45435a|26|0 139,5,1,1,1,1,1,1,2,0,0,29,1,0,3,185,
scooby_state_45435a|37|0 148,7,0,0,0,2,0,0,0,0,1,26,0,0,1,185,
scooby_state_45435a|36|0 126,5,1,2,0,1,2,5,0,0,0,39,2,0,2,185,
scooby_state_454351|18|0 159,1,1,3,2,0,1,0,2,2,1,4,2,2,5,185,
scooby_state_45435a|20|0 144,10,0,0,0,0,1,0,3,1,0,25,0,0,0,184,
scooby_state_45435a|18|0 139,4,1,3,4,1,0,1,1,1,1,22,1,0,2,181,
scooby_state_45435a|9|0 136,4,0,2,1,3,0,1,0,0,2,25,1,1,5,181,
scooby_state_45435a|8|0 139,3,1,0,0,0,0,0,0,2,0,33,1,1,0,180,
scooby_state_454351|20|0 167,1,1,1,0,1,0,0,0,1,0,2,0,1,4,179,
scooby_state_45435a|0|0 134,5,0,0,1,1,2,1,2,1,3,26,1,2,0,179,
scooby_state_45435a|7|0 124,2,1,3,0,1,1,0,0,1,1,40,2,0,2,178,
scooby_state_45435a|62|0 135,8,2,1,1,0,1,0,1,0,1,28,0,0,0,178,
scooby_state_454351|37|0 166,2,1,1,1,1,1,0,1,1,0,1,0,0,2,178,
scooby_state_454351|47|0 161,0,0,1,0,1,3,1,1,0,2,2,1,1,3,177,
scooby_state_45435a|61|0 130,3,0,0,1,0,2,1,0,2,2,33,2,0,1,177,
scooby_state_45435a|32|0 127,6,0,0,0,1,0,2,2,1,0,35,1,0,2,177,
scooby_state_454351|48|0 163,2,1,0,0,0,1,1,2,0,0,2,0,0,4,176,
scooby_state_45435a|60|0 123,10,0,2,2,0,0,1,0,1,0,33,2,0,2,176,
scooby_state_454351|38|0 165,3,3,0,1,1,0,0,0,1,0,1,0,0,1,176,
scooby_state_454351|36|0 148,2,2,2,2,1,1,0,2,0,2,3,1,2,6,174,
scooby_state_45435a|30|0 124,5,3,0,0,0,2,0,1,0,0,34,0,3,1,173,
scooby_state_454351|62|0 158,0,0,0,0,2,1,1,2,1,1,0,1,0,5,172,
scooby_state_454351|15|0 155,0,3,0,1,4,0,2,0,1,0,2,0,0,4,172,
scooby_state_45435a|46|0 109,1,0,1,2,2,3,0,1,2,0,43,3,3,2,172,
scooby_state_45435a|40|0 114,3,1,2,1,0,0,1,1,1,1,45,0,0,1,171,
scooby_state_454351|34|0 150,1,0,2,0,2,2,1,0,1,2,4,1,0,4,170,
scooby_state_45435a|12|0 132,4,1,2,1,0,1,0,0,1,2,22,1,0,3,170,
scooby_state_454351|31|0 157,3,0,1,2,1,0,0,0,1,0,1,1,0,3,170,
scooby_state_45435a|4|0 130,5,0,0,1,2,1,0,0,0,1,23,2,2,2,169,
scooby_state_454351|7|0 157,0,2,1,0,0,1,1,0,1,0,2,1,1,2,169,
scooby_state_45435a|51|0 116,4,1,0,1,3,1,1,1,0,1,35,2,3,0,169,
scooby_state_454351|60|0 158,0,0,0,0,0,0,0,2,1,0,1,0,1,5,168,
scooby_state_454351|49|0 150,3,2,0,0,2,0,0,1,2,1,3,0,1,3,168,
scooby_state_45435a|28|0 128,2,1,0,2,1,0,0,0,2,2,24,1,1,3,167,
scooby_state_454351|26|0 148,1,0,0,0,1,1,1,1,3,2,5,1,0,3,167,
scooby_state_454351|10|0 155,2,0,0,2,0,1,0,1,2,1,3,0,0,0,167,
scooby_state_454351|23|0 145,3,1,0,1,1,2,2,0,3,1,2,1,1,2,165,
scooby_state_45435a|6|0 119,4,1,0,1,1,1,1,1,1,1,30,2,1,1,165,
scooby_state_45435a|50|0 109,5,0,1,0,1,0,1,5,0,1,39,0,0,2,164,
scooby_state_454351|42|0 144,3,0,3,3,2,2,1,1,1,1,2,1,0,0,164,
scooby_state_454351|12|0 145,3,1,0,1,1,0,1,0,3,0,1,0,1,6,163,
scooby_state_454351|27|0 139,3,0,1,2,1,1,1,2,1,2,3,1,1,5,163,
scooby_state_45435a|2|0 112,5,1,0,1,1,0,1,1,1,1,37,0,1,1,163,
scooby_state_45435a|29|0 119,4,1,2,0,1,1,1,2,1,1,25,0,1,4,163,
scooby_state_454351|11|0 147,2,1,1,2,0,0,0,2,0,0,3,2,1,1,162,
scooby_state_45435a|53|0 124,0,0,1,1,0,1,1,1,1,1,28,1,0,1,161,
scooby_state_45435a|27|0 122,3,1,2,0,0,1,1,0,2,1,23,0,2,2,160,
