Original cmd-> /cluster/home/vlnitu/CA-Lab4-24-vlnitu/Pythia/bin/perceptron-no-multi-no-ship-1core --warmup_instructions=1000000 --simulation_instructions=10000000 --l2c_prefetcher_types=scooby --config=/cluster/home/vlnitu/CA-Lab4-24-vlnitu/Pythia/config/pythia.ini --mail-type=BEGIN,END  -traces /cluster/home/vlnitu/CA-Lab4-24-vlnitu/Pythia/traces/482.sphinx3-1100B.champsimtrace.xz
*************************************************
   ChampSim Multicore Out-of-Order Simulator
   Last compiled: Nov 19 2024 20:10:11
*************************************************
parsing config file: /cluster/home/vlnitu/CA-Lab4-24-vlnitu/Pythia/config/pythia.ini
unable to parse section: , name: mail-type, value: BEGIN,END

trace_0 /cluster/home/vlnitu/CA-Lab4-24-vlnitu/Pythia/traces/482.sphinx3-1100B.champsimtrace.xz
Core_0_L2C_prefetch_issued 617755
Core_0_L2C_prefetch_filled 140115
Core_0_L2C_prefetch_useful 111448
Core_0_L2C_prefetch_useless 28613
Core_0_L2C_prefetch_late 4105
Core_0_L2C_average_miss_latency 128.87675

Core_0_L2C_rq_access 149373
Core_0_L2C_rq_forward 0
Core_0_L2C_rq_merged 0
Core_0_L2C_rq_to_cache 149373
Core_0_L2C_rq_full 0

Core_0_L2C_wq_access 11773
Core_0_L2C_wq_forward 0
Core_0_L2C_wq_merged 0
Core_0_L2C_wq_to_cache 11773
Core_0_L2C_wq_full 0

Core_0_L2C_pq_access 617755
Core_0_L2C_pq_forward 0
Core_0_L2C_pq_merged 13446
Core_0_L2C_pq_to_cache 604309
Core_0_L2C_pq_full 0

Core_0_L2C_acc_epochs 8702
Core_0_L2C_acc_level_0 282
Core_0_L2C_acc_level_1 156
Core_0_L2C_acc_level_2 124
Core_0_L2C_acc_level_3 188
Core_0_L2C_acc_level_4 407
Core_0_L2C_acc_level_5 753
Core_0_L2C_acc_level_6 1104
Core_0_L2C_acc_level_7 1030
Core_0_L2C_acc_level_8 955
Core_0_L2C_acc_level_9 3703

Core_0_LLC_total_access 167756
Core_0_LLC_total_hit 55140
Core_0_LLC_total_miss 112616
Core_0_LLC_loads 17751
Core_0_LLC_load_hit 9190
Core_0_LLC_load_miss 8561
Core_0_LLC_RFOs 7577
Core_0_LLC_RFO_hit 4514
Core_0_LLC_RFO_miss 3063
Core_0_LLC_prefetches 131706
Core_0_LLC_prefetch_hit 30818
Core_0_LLC_prefetch_miss 100888
Core_0_LLC_writebacks 10722
Core_0_LLC_writeback_hit 10618
Core_0_LLC_writeback_miss 104
Core_0_LLC_prefetch_requested 0
Core_0_LLC_prefetch_dropped 0
Core_0_LLC_prefetch_issued 0
Core_0_LLC_prefetch_filled 113378
Core_0_LLC_prefetch_useful 1341
Core_0_LLC_prefetch_useless 87875
Core_0_LLC_prefetch_late 0
Core_0_LLC_average_miss_latency 139.34793

Core_0_LLC_rq_access 25329
Core_0_LLC_rq_forward 0
Core_0_LLC_rq_merged 0
Core_0_LLC_rq_to_cache 25328
Core_0_LLC_rq_full 0

Core_0_LLC_wq_access 10722
Core_0_LLC_wq_forward 1
Core_0_LLC_wq_merged 0
Core_0_LLC_wq_to_cache 10722
Core_0_LLC_wq_full 0

Core_0_LLC_pq_access 144223
Core_0_LLC_pq_forward 0
Core_0_LLC_pq_merged 0
Core_0_LLC_pq_to_cache 144223
Core_0_LLC_pq_full 0

Core_0_LLC_acc_epochs 9101
Core_0_LLC_acc_level_0 8805
Core_0_LLC_acc_level_1 149
Core_0_LLC_acc_level_2 54
Core_0_LLC_acc_level_3 20
Core_0_LLC_acc_level_4 7
Core_0_LLC_acc_level_5 32
Core_0_LLC_acc_level_6 6
Core_0_LLC_acc_level_7 4
Core_0_LLC_acc_level_8 1
Core_0_LLC_acc_level_9 23

Core_0_major_page_fault 0
Core_0_minor_page_fault 2222

scooby_st_lookup 153828
scooby_st_hit 147413
scooby_st_evict 6351
scooby_st_insert 6415
scooby_st_streaming 0

scooby_predict_called 153828
scooby_predict_out_of_bounds 4606
scooby_predict_action_1 135674
scooby_predict_issue_action_1 132519
scooby_predict_hit_action_1 3155
scooby_predict_out_of_bounds_action_1 2203
scooby_predict_action_3 831
scooby_predict_issue_action_3 786
scooby_predict_hit_action_3 45
scooby_predict_out_of_bounds_action_3 54
scooby_predict_action_4 4336
scooby_predict_issue_action_4 4243
scooby_predict_hit_action_4 93
scooby_predict_out_of_bounds_action_4 276
scooby_predict_action_5 1564
scooby_predict_issue_action_5 1528
scooby_predict_hit_action_5 36
scooby_predict_out_of_bounds_action_5 122
scooby_predict_action_10 539
scooby_predict_issue_action_10 504
scooby_predict_hit_action_10 35
scooby_predict_out_of_bounds_action_10 91
scooby_predict_action_11 518
scooby_predict_issue_action_11 477
scooby_predict_hit_action_11 41
scooby_predict_out_of_bounds_action_11 109
scooby_predict_action_12 483
scooby_predict_issue_action_12 459
scooby_predict_hit_action_12 24
scooby_predict_out_of_bounds_action_12 98
scooby_predict_action_22 1662
scooby_predict_issue_action_22 1624
scooby_predict_hit_action_22 38
scooby_predict_out_of_bounds_action_22 907
scooby_predict_action_23 327
scooby_predict_issue_action_23 307
scooby_predict_hit_action_23 20
scooby_predict_out_of_bounds_action_23 180
scooby_predict_action_30 274
scooby_predict_issue_action_30 261
scooby_predict_hit_action_30 13
scooby_predict_out_of_bounds_action_30 236
scooby_predict_action_32 215
scooby_predict_issue_action_32 205
scooby_predict_hit_action_32 10
scooby_predict_out_of_bounds_action_32 249
scooby_predict_action_-1 639
scooby_predict_issue_action_-1 589
scooby_predict_hit_action_-1 50
scooby_predict_out_of_bounds_action_-1 8
scooby_predict_action_-3 579
scooby_predict_issue_action_-3 548
scooby_predict_hit_action_-3 31
scooby_predict_out_of_bounds_action_-3 25
scooby_predict_action_-6 634
scooby_predict_issue_action_-6 606
scooby_predict_hit_action_-6 28
scooby_predict_out_of_bounds_action_-6 48
scooby_predict_action_0 947
scooby_predict_issue_action_0 0
scooby_predict_hit_action_0 0
scooby_predict_out_of_bounds_action_0 0
scooby_predict_multi_deg_called 116404
scooby_predict_predicted 617814
scooby_predict_multi_deg 473158
scooby_predict_multi_deg_2 113721
scooby_predict_multi_deg_3 102155
scooby_predict_multi_deg_4 100141
scooby_predict_multi_deg_5 79465
scooby_predict_multi_deg_6 77676
scooby_predict_multi_deg_7 0
scooby_predict_multi_deg_8 0
scooby_predict_multi_deg_9 0
scooby_predict_multi_deg_10 0
scooby_predict_multi_deg_11 0
scooby_predict_multi_deg_12 0
scooby_predict_multi_deg_13 0
scooby_predict_multi_deg_14 0
scooby_predict_multi_deg_15 0
scooby_predict_multi_deg_16 0

scooby_selected_deg_1 28252
scooby_selected_deg_2 9568
scooby_selected_deg_3 0
scooby_selected_deg_4 19869
scooby_selected_deg_5 0
scooby_selected_deg_6 86967
scooby_selected_deg_7 0
scooby_selected_deg_8 0
scooby_selected_deg_9 0
scooby_selected_deg_10 0
scooby_selected_deg_11 0
scooby_selected_deg_12 0
scooby_selected_deg_13 0
scooby_selected_deg_14 0
scooby_selected_deg_15 0
scooby_selected_deg_16 0

scooby_state_403bf7|4|1 358,0,0,0,0,0,1,0,0,0,0,0,0,0,0,359,
scooby_state_403bfc|4|1 358,0,0,0,0,0,0,1,0,0,0,0,0,0,0,359,
scooby_state_403bfc|3|1 357,0,0,0,1,0,0,0,0,0,0,0,0,0,0,358,
scooby_state_403bf7|3|1 356,0,0,0,0,1,0,0,0,0,0,0,0,0,1,358,
scooby_state_403bf7|6|1 347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,347,
scooby_state_403bfc|0|0 346,0,0,0,0,0,1,0,0,0,0,0,0,0,0,347,
scooby_state_403bfc|6|1 347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,347,
scooby_state_403bf7|0|0 346,0,0,0,1,0,0,0,0,0,0,0,0,0,0,347,
scooby_state_403bf7|18|1 344,0,0,1,0,0,0,0,0,0,0,1,0,0,0,346,
scooby_state_403bfc|16|1 344,0,1,0,0,1,0,0,0,0,0,0,0,0,0,346,
scooby_state_403bf7|16|1 346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,346,
scooby_state_403bfc|18|1 346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,346,
scooby_state_403bf7|2|1 345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345,
scooby_state_403bfc|2|1 345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345,
scooby_state_403bfc|15|1 344,0,0,0,0,0,0,0,0,0,0,0,1,0,0,345,
scooby_state_403bfc|7|1 345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345,
scooby_state_403bf7|7|1 345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345,
scooby_state_403bf7|15|1 344,1,0,0,0,0,0,0,0,0,0,0,0,0,0,345,
scooby_state_403bfc|17|1 344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,344,
scooby_state_403bfc|19|1 344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,344,
scooby_state_403bf7|14|1 344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,344,
scooby_state_403bfc|14|1 343,0,0,0,0,1,0,0,0,0,0,0,0,0,0,344,
scooby_state_403bf7|19|1 344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,344,
scooby_state_403bf7|17|1 342,0,0,1,0,0,0,0,0,0,1,0,0,0,0,344,
scooby_state_403bfc|13|1 342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,342,
scooby_state_403bf7|13|1 340,0,0,0,1,0,0,0,0,1,0,0,0,0,0,342,
scooby_state_403bf7|5|1 341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,341,
scooby_state_403bf7|12|1 340,0,0,0,0,1,0,0,0,0,0,0,0,0,0,341,
scooby_state_403bfc|12|1 341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,341,
scooby_state_403bfc|5|1 340,1,0,0,0,0,0,0,0,0,0,0,0,0,0,341,
scooby_state_403bf7|20|1 337,0,0,0,0,0,0,1,0,0,0,0,0,0,0,338,
scooby_state_403bf7|8|1 337,0,0,0,1,0,0,0,0,0,0,0,0,0,0,338,
scooby_state_403bfc|20|1 338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,338,
scooby_state_403bfc|8|1 338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,338,
scooby_state_403bfc|11|1 338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,338,
scooby_state_403bf7|11|1 336,0,0,0,0,0,1,0,1,0,0,0,0,0,0,338,
scooby_state_403bf7|1|1 336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,336,
scooby_state_403bfc|1|1 336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,336,
scooby_state_41c9d6|17|1 335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,335,
scooby_state_41c9d6|19|1 333,0,0,0,0,0,0,0,1,0,0,0,1,0,0,335,
scooby_state_41c9d6|22|1 334,0,0,0,0,0,0,0,1,0,0,0,0,0,0,335,
scooby_state_41c9d6|9|1 333,1,0,0,0,1,0,0,0,0,0,0,0,0,0,335,
scooby_state_41c9d6|18|1 335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,335,
scooby_state_41c9d6|21|1 335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,335,
scooby_state_41c9d6|10|1 334,0,0,1,0,0,0,0,0,0,0,0,0,0,0,335,
scooby_state_41c9d6|13|1 335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,335,
scooby_state_41c9d6|11|1 333,0,0,0,1,0,0,0,0,0,0,1,0,0,0,335,
scooby_state_41c9d6|20|1 335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,335,
scooby_state_41c9d6|14|1 334,0,0,0,0,0,0,1,0,0,0,0,0,0,0,335,
scooby_state_41c9d6|16|1 334,0,1,0,0,0,0,0,0,0,0,0,0,0,0,335,
scooby_state_41c9d6|12|1 335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,335,
scooby_state_41c9d6|15|1 335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,335,
scooby_state_41c9d6|25|1 334,0,0,0,0,0,0,0,0,0,1,0,0,0,0,335,
scooby_state_41c9d6|42|1 334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,334,
scooby_state_41c9d6|47|1 334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,334,
scooby_state_403bf7|21|1 334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,334,
scooby_state_41c9d6|34|1 333,0,0,0,0,0,0,1,0,0,0,0,0,0,0,334,
scooby_state_41c9d6|62|1 334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,334,
scooby_state_41c9d6|57|1 334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,334,
scooby_state_41c9d6|32|1 333,0,0,0,0,0,0,0,0,0,0,1,0,0,0,334,
scooby_state_41c9d6|60|1 334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,334,
scooby_state_41c9d6|4|1 334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,334,
scooby_state_41c9d6|45|1 333,0,1,0,0,0,0,0,0,0,0,0,0,0,0,334,
scooby_state_403bf7|9|1 334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,334,
scooby_state_41c9d6|41|1 334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,334,
scooby_state_41c9d6|33|1 333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,334,
scooby_state_41c9d6|49|1 333,0,0,0,0,0,0,0,1,0,0,0,0,0,0,334,
scooby_state_41c9d6|28|1 331,0,0,0,0,0,0,0,0,0,2,0,1,0,0,334,
scooby_state_403bfc|9|1 332,0,0,0,1,0,0,0,0,1,0,0,0,0,0,334,
scooby_state_41c9d6|51|1 334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,334,
scooby_state_41c9d6|2|1 334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,334,
scooby_state_41c9d6|54|1 334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,334,
scooby_state_41c9d6|48|1 332,0,0,0,0,0,0,0,1,0,0,1,0,0,0,334,
scooby_state_41c9d6|50|1 333,0,0,0,1,0,0,0,0,0,0,0,0,0,0,334,
scooby_state_403bfc|22|1 333,0,0,0,0,0,1,0,0,0,0,0,0,0,0,334,
scooby_state_41c9d6|53|1 332,0,0,0,0,0,0,0,0,1,0,0,1,0,0,334,
scooby_state_41c9d6|31|1 334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,334,
scooby_state_403bf7|22|1 334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,334,
scooby_state_41c9d6|46|1 334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,334,
scooby_state_41c9d6|5|1 332,0,0,0,0,0,0,1,0,0,0,0,0,0,1,334,
scooby_state_41c9d6|30|1 333,0,0,1,0,0,0,0,0,0,0,0,0,0,0,334,
scooby_state_41c9d6|40|1 334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,334,
scooby_state_403bfc|21|1 333,0,0,0,0,0,0,0,0,0,0,0,1,0,0,334,
scooby_state_41c9d6|44|1 334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,334,
scooby_state_41c9d6|1|1 333,0,0,0,0,1,0,0,0,0,0,0,0,0,0,334,
scooby_state_41c9d6|52|1 334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,334,
