Original cmd-> /cluster/home/vlnitu/CA-Lab4-24-vlnitu/Pythia/bin/perceptron-no-multi-no-ship-1core --warmup_instructions=1000000 --simulation_instructions=10000000 --l2c_prefetcher_types=scooby --config=/cluster/home/vlnitu/CA-Lab4-24-vlnitu/Pythia/config/pythia.ini --mail-type=BEGIN,END  -traces /cluster/home/vlnitu/CA-Lab4-24-vlnitu/Pythia/traces/603.bwaves_s-1740B.champsimtrace.xz
*************************************************
   ChampSim Multicore Out-of-Order Simulator
   Last compiled: Nov 19 2024 20:10:11
*************************************************
parsing config file: /cluster/home/vlnitu/CA-Lab4-24-vlnitu/Pythia/config/pythia.ini
unable to parse section: , name: mail-type, value: BEGIN,END

trace_0 /cluster/home/vlnitu/CA-Lab4-24-vlnitu/Pythia/traces/603.bwaves_s-1740B.champsimtrace.xz
Core_0_L2C_prefetch_dropped 300790
Core_0_L2C_prefetch_issued 807608
Core_0_L2C_prefetch_filled 191178
Core_0_L2C_prefetch_useful 191102
Core_0_L2C_prefetch_useless 20
Core_0_L2C_prefetch_late 5801
Core_0_L2C_average_miss_latency 276.31020

Core_0_L2C_rq_access 207718
Core_0_L2C_rq_forward 0
Core_0_L2C_rq_merged 0
Core_0_L2C_rq_to_cache 207497
Core_0_L2C_rq_full 0

Core_0_L2C_wq_access 6891
Core_0_L2C_wq_forward 221
Core_0_L2C_wq_merged 0
Core_0_L2C_wq_to_cache 6891
Core_0_L2C_wq_full 0

Core_0_L2C_pq_access 807608
Core_0_L2C_pq_forward 0
Core_0_L2C_pq_merged 52369
Core_0_L2C_pq_to_cache 755239
Core_0_L2C_pq_full 0

Core_0_L2C_acc_epochs 7667
Core_0_L2C_acc_level_0 1
Core_0_L2C_acc_level_1 0
Core_0_L2C_acc_level_2 0
Core_0_L2C_acc_level_3 3
Core_0_L2C_acc_level_4 14
Core_0_L2C_acc_level_5 22
Core_0_L2C_acc_level_6 55
Core_0_L2C_acc_level_7 264
Core_0_L2C_acc_level_8 1231
Core_0_L2C_acc_level_9 6077

Core_0_LLC_total_access 195003
Core_0_LLC_total_hit 540
Core_0_LLC_total_miss 194463
Core_0_LLC_loads 6252
Core_0_LLC_load_hit 1
Core_0_LLC_load_miss 6251
Core_0_LLC_RFOs 4873
Core_0_LLC_RFO_hit 0
Core_0_LLC_RFO_miss 4873
Core_0_LLC_prefetches 178958
Core_0_LLC_prefetch_hit 10
Core_0_LLC_prefetch_miss 178948
Core_0_LLC_writebacks 4920
Core_0_LLC_writeback_hit 529
Core_0_LLC_writeback_miss 4391
Core_0_LLC_prefetch_requested 0
Core_0_LLC_prefetch_dropped 0
Core_0_LLC_prefetch_issued 0
Core_0_LLC_prefetch_filled 196970
Core_0_LLC_prefetch_useful 1
Core_0_LLC_prefetch_useless 170378
Core_0_LLC_prefetch_late 0
Core_0_LLC_average_miss_latency 243.41558

Core_0_LLC_rq_access 11125
Core_0_LLC_rq_forward 0
Core_0_LLC_rq_merged 0
Core_0_LLC_rq_to_cache 11125
Core_0_LLC_rq_full 0

Core_0_LLC_wq_access 4920
Core_0_LLC_wq_forward 0
Core_0_LLC_wq_merged 0
Core_0_LLC_wq_to_cache 4920
Core_0_LLC_wq_full 0

Core_0_LLC_pq_access 196982
Core_0_LLC_pq_forward 0
Core_0_LLC_pq_merged 0
Core_0_LLC_pq_to_cache 196982
Core_0_LLC_pq_full 0

Core_0_LLC_acc_epochs 7953
Core_0_LLC_acc_level_0 7953
Core_0_LLC_acc_level_1 0
Core_0_LLC_acc_level_2 0
Core_0_LLC_acc_level_3 0
Core_0_LLC_acc_level_4 0
Core_0_LLC_acc_level_5 0
Core_0_LLC_acc_level_6 0
Core_0_LLC_acc_level_7 0
Core_0_LLC_acc_level_8 0
Core_0_LLC_acc_level_9 0

Core_0_major_page_fault 0
Core_0_minor_page_fault 3283

scooby_st_lookup 222451
scooby_st_hit 219252
scooby_st_evict 3135
scooby_st_insert 3199
scooby_st_streaming 0

scooby_predict_called 222451
scooby_predict_out_of_bounds 3419
scooby_predict_action_1 218361
scooby_predict_issue_action_1 210995
scooby_predict_hit_action_1 7366
scooby_predict_out_of_bounds_action_1 3346
scooby_predict_action_3 370
scooby_predict_issue_action_3 147
scooby_predict_hit_action_3 223
scooby_predict_out_of_bounds_action_3 3
scooby_predict_action_4 22
scooby_predict_issue_action_4 22
scooby_predict_hit_action_4 0
scooby_predict_out_of_bounds_action_4 2
scooby_predict_action_5 25
scooby_predict_issue_action_5 25
scooby_predict_hit_action_5 0
scooby_predict_out_of_bounds_action_5 1
scooby_predict_action_10 35
scooby_predict_issue_action_10 35
scooby_predict_hit_action_10 0
scooby_predict_out_of_bounds_action_10 3
scooby_predict_action_11 23
scooby_predict_issue_action_11 23
scooby_predict_hit_action_11 0
scooby_predict_out_of_bounds_action_11 6
scooby_predict_action_12 23
scooby_predict_issue_action_12 23
scooby_predict_hit_action_12 0
scooby_predict_out_of_bounds_action_12 3
scooby_predict_action_22 23
scooby_predict_issue_action_22 23
scooby_predict_hit_action_22 0
scooby_predict_out_of_bounds_action_22 11
scooby_predict_action_23 18
scooby_predict_issue_action_23 18
scooby_predict_hit_action_23 0
scooby_predict_out_of_bounds_action_23 9
scooby_predict_action_30 18
scooby_predict_issue_action_30 18
scooby_predict_hit_action_30 0
scooby_predict_out_of_bounds_action_30 15
scooby_predict_action_32 8
scooby_predict_issue_action_32 8
scooby_predict_hit_action_32 0
scooby_predict_out_of_bounds_action_32 16
scooby_predict_action_-1 29
scooby_predict_issue_action_-1 1
scooby_predict_hit_action_-1 28
scooby_predict_out_of_bounds_action_-1 0
scooby_predict_action_-3 24
scooby_predict_issue_action_-3 0
scooby_predict_hit_action_-3 24
scooby_predict_out_of_bounds_action_-3 0
scooby_predict_action_-6 20
scooby_predict_issue_action_-6 2
scooby_predict_hit_action_-6 18
scooby_predict_out_of_bounds_action_-6 4
scooby_predict_action_0 33
scooby_predict_issue_action_0 0
scooby_predict_hit_action_0 0
scooby_predict_out_of_bounds_action_0 0
scooby_predict_multi_deg_called 201000
scooby_predict_predicted 1108398
scooby_predict_multi_deg 897058
scooby_predict_multi_deg_2 197677
scooby_predict_multi_deg_3 187829
scooby_predict_multi_deg_4 184502
scooby_predict_multi_deg_5 165190
scooby_predict_multi_deg_6 161860
scooby_predict_multi_deg_7 0
scooby_predict_multi_deg_8 0
scooby_predict_multi_deg_9 0
scooby_predict_multi_deg_10 0
scooby_predict_multi_deg_11 0
scooby_predict_multi_deg_12 0
scooby_predict_multi_deg_13 0
scooby_predict_multi_deg_14 0
scooby_predict_multi_deg_15 0
scooby_predict_multi_deg_16 0

scooby_selected_deg_1 10340
scooby_selected_deg_2 6510
scooby_selected_deg_3 0
scooby_selected_deg_4 15985
scooby_selected_deg_5 0
scooby_selected_deg_6 178505
scooby_selected_deg_7 0
scooby_selected_deg_8 0
scooby_selected_deg_9 0
scooby_selected_deg_10 0
scooby_selected_deg_11 0
scooby_selected_deg_12 0
scooby_selected_deg_13 0
scooby_selected_deg_14 0
scooby_selected_deg_15 0
scooby_selected_deg_16 0

scooby_state_401a93|29|1 468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,468,
scooby_state_401a30|29|1 465,0,0,0,0,0,0,0,0,1,0,0,0,0,0,466,
scooby_state_401a61|29|1 458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,458,
scooby_state_401a6f|29|1 450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450,
scooby_state_401a93|27|1 448,0,0,0,0,0,0,0,0,0,0,0,0,1,0,449,
scooby_state_401a3c|29|1 447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,447,
scooby_state_401a86|29|1 439,0,0,0,0,0,0,0,0,0,0,1,0,0,0,440,
scooby_state_401a54|29|1 432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,432,
scooby_state_401a6f|27|1 431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,431,
scooby_state_401a30|27|1 428,0,0,0,1,0,0,0,0,0,1,0,0,0,0,430,
scooby_state_401a86|27|1 425,0,1,0,0,0,1,0,0,0,0,0,0,0,0,427,
scooby_state_401a54|27|1 424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,424,
scooby_state_401a30|13|1 422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,422,
scooby_state_401a61|13|1 422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,422,
scooby_state_401a61|61|1 421,0,0,0,0,0,0,0,0,1,0,0,0,0,0,422,
scooby_state_401a3c|27|1 419,0,0,0,0,0,0,1,0,0,0,0,1,0,0,421,
scooby_state_401a6f|45|1 419,0,0,0,1,0,0,1,0,0,0,0,0,0,0,421,
scooby_state_401a30|61|1 421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,421,
scooby_state_401a61|27|1 419,0,0,0,0,0,0,0,0,1,0,0,0,0,1,421,
scooby_state_401a3c|61|1 420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,420,
scooby_state_401a93|13|1 419,0,0,0,0,0,0,0,0,0,0,0,0,1,0,420,
scooby_state_401a54|13|1 420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,420,
scooby_state_401a6f|61|1 420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,420,
scooby_state_401a86|13|1 420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,420,
scooby_state_401a3c|35|1 417,0,0,0,1,0,0,1,0,0,0,0,0,0,0,419,
scooby_state_401a3c|9|1 417,0,0,0,0,0,0,0,0,1,0,1,0,0,0,419,
scooby_state_401a86|40|1 418,0,0,0,0,0,1,0,0,0,0,0,0,0,0,419,
scooby_state_401a86|8|1 419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419,
scooby_state_401a3c|8|1 417,0,0,0,1,0,0,0,0,1,0,0,0,0,0,419,
scooby_state_401a54|8|1 419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419,
scooby_state_401a6f|44|1 419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419,
scooby_state_401a93|24|1 417,0,0,0,1,0,0,1,0,0,0,0,0,0,0,419,
scooby_state_401a86|25|1 419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419,
scooby_state_401a6f|12|1 419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419,
scooby_state_401a61|25|1 418,0,0,0,0,0,0,0,0,0,0,0,0,0,1,419,
scooby_state_401a6f|26|1 419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419,
scooby_state_401a30|34|1 419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419,
scooby_state_401a30|26|1 418,0,1,0,0,0,0,0,0,0,0,0,0,0,0,419,
scooby_state_401a61|40|1 419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419,
scooby_state_401a3c|26|1 419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419,
scooby_state_401a30|43|1 419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419,
scooby_state_401a3c|18|1 418,0,0,0,0,0,0,0,1,0,0,0,0,0,0,419,
scooby_state_401a93|41|1 417,0,0,0,0,0,0,1,0,0,0,0,0,0,1,419,
scooby_state_401a93|20|1 414,0,1,0,1,0,0,0,0,0,1,0,0,0,2,419,
scooby_state_401a93|23|1 419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419,
scooby_state_401a86|7|1 419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419,
scooby_state_401a86|9|1 419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419,
scooby_state_401a86|11|1 419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419,
scooby_state_401a6f|13|1 418,0,0,0,0,0,1,0,0,0,0,0,0,0,0,419,
scooby_state_401a6f|34|1 415,0,0,0,0,0,0,0,1,1,0,1,0,1,0,419,
scooby_state_401a93|18|1 418,0,0,1,0,0,0,0,0,0,0,0,0,0,0,419,
scooby_state_401a3c|4|1 416,0,0,1,1,0,0,0,0,0,0,0,0,1,0,419,
scooby_state_401a54|45|1 419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419,
scooby_state_401a6f|1|1 418,0,0,0,0,0,1,0,0,0,0,0,0,0,0,419,
scooby_state_401a30|40|1 417,0,1,0,0,0,0,0,1,0,0,0,0,0,0,419,
scooby_state_401a3c|24|1 419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419,
scooby_state_401a6f|2|1 418,0,0,0,0,0,0,0,1,0,0,0,0,0,0,419,
scooby_state_401a3c|12|1 419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419,
scooby_state_401a6f|8|1 418,0,0,1,0,0,0,0,0,0,0,0,0,0,0,419,
scooby_state_401a30|10|1 419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419,
scooby_state_401a6f|38|1 418,0,0,0,0,0,1,0,0,0,0,0,0,0,0,419,
scooby_state_401a86|3|1 418,0,0,0,0,0,0,0,0,1,0,0,0,0,0,419,
scooby_state_401a61|7|1 418,0,0,0,0,0,1,0,0,0,0,0,0,0,0,419,
scooby_state_401a6f|4|1 419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419,
scooby_state_401a61|11|1 419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419,
scooby_state_401a61|18|1 419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419,
scooby_state_401a93|62|1 415,1,0,0,0,1,0,0,2,0,0,0,0,0,0,419,
scooby_state_401a6f|25|1 417,1,0,0,0,0,1,0,0,0,0,0,0,0,0,419,
scooby_state_401a30|45|1 417,1,0,0,1,0,0,0,0,0,0,0,0,0,0,419,
scooby_state_401a3c|6|1 417,1,0,0,0,0,0,1,0,0,0,0,0,0,0,419,
scooby_state_401a93|35|1 417,0,0,0,0,0,0,0,0,0,1,0,0,1,0,419,
scooby_state_401a3c|20|1 417,0,1,0,0,0,0,0,0,0,0,1,0,0,0,419,
scooby_state_401a3c|42|1 418,0,0,0,0,1,0,0,0,0,0,0,0,0,0,419,
scooby_state_401a6f|39|1 417,1,0,0,0,1,0,0,0,0,0,0,0,0,0,419,
scooby_state_401a3c|40|1 418,0,0,0,0,0,0,0,1,0,0,0,0,0,0,419,
scooby_state_401a6f|23|1 419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419,
scooby_state_401a86|39|1 418,0,0,0,0,0,0,0,0,0,0,0,0,0,1,419,
scooby_state_401a54|40|1 419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419,
scooby_state_401a93|40|1 417,0,0,0,0,2,0,0,0,0,0,0,0,0,0,419,
scooby_state_401a86|18|1 418,0,0,0,0,0,0,1,0,0,0,0,0,0,0,419,
scooby_state_401a6f|41|1 419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419,
scooby_state_401a30|41|1 417,0,0,0,1,0,0,0,0,0,0,0,0,0,1,419,
scooby_state_401a3c|41|1 418,0,0,0,1,0,0,0,0,0,0,0,0,0,0,419,
scooby_state_401a3c|39|1 418,0,0,0,0,1,0,0,0,0,0,0,0,0,0,419,
scooby_state_401a61|21|1 419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419,
scooby_state_401a6f|40|1 419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419,
scooby_state_401a3c|43|1 419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419,
scooby_state_401a61|19|1 418,0,0,0,0,0,0,0,0,1,0,0,0,0,0,419,
